区分,自転車（円）,原付（円）
定期利用／一般／1ヶ月,2500 ,5000 
定期利用／一般／3ヶ月,7000 ,14000 
定期利用／学生／1ヶ月,2000 ,4000 
定期利用／学生／3ヶ月,5500 ,11000 
1日利用,150 ,400 
1時間利用,―,200 
