施設名,,郵便番号,所在地,緯度,経度,座標系,電話番号
東京セントラルユースホステル,,162－0823,新宿区神楽河岸１－１セントラルプラザ18階,35.69758638,139.7467536,JGD２０１１,03-3235－1107
東京隅田川ユースホステル,,111-0052,台東区柳橋２－21－４,35.69589398,139.7924579,JGD２０１１,03-3851-1121
東京上野ユースホステル,,110-0005,台東区上野１－13－６東京新潟県人会館4階,35.70318121,139.7735136,JGD２０１１,03-5817-8570
ひのはらユースホステル,,190-0211,西多摩郡檜原村7779－10,35.72361966,139.1520472,JGD２０１１,042-598-1131
御嶽ユースホステル,,198-0175,青梅市御岳山57,35.78281769,139.1545439,JGD２０１１,0428-78-8774
小笠原ユースホステル,,100-2101,小笠原村父島字西町46－12,27.0898161,142.1948021,JGD２０１１,04998-2-2692
アンナビーチ母島ユースホステル,,100-2211,小笠原村母島字静沢26－２,26.63711919,142.1572378,JGD２０１１,04998-3-2468
