区分,見やすい構成比(%),どちらともいえない構成比(%),見にくい構成比(%),気が付かなかった構成比(%),その他構成比(%)
自転車（n=431）,46.2,16.0,8.8,23.7,5.3
歩行者（n=455）,55.2,13.4,6.8,20.0,4.6
自動車（n=42）,33.3,28.6,21.4,14.3,2.4
