区分,教育委員会,平成２０年度／学校数,平成２０年度／実施校数,平成２０年度／実施率(%),平成２１年度／学校数,平成２１年度／実施校数,平成２１年度／実施率(%),平成２２年度／学校数,平成２２年度／実施校数,平成２２年度／実施率(%),平成２３年度／学校数,平成２３年度／実施校数,平成２３年度／実施率(%),平成２４年度／学校数,平成２４年度／実施校数,平成２４年度／実施率(%),平成２５年度／学校数,平成２５年度／実施校数,平成２５年度／実施率(%),平成２６年度／学校数,平成２６年度／実施校数,平成２６年度／実施率(%),平成２７年度／学校数,平成２７年度／実施校数,平成２７年度／実施率(%),平均／学校数,平均／実施校数,平均／実施率(%),,,,
1,千代田区,8,2,25.0,8,4,50.0,,6,75.0,8,2,25.0,8,3,37.5,8,4,50.0,8,3,37.5,8,4,50.0,56,28,50.0,1,千代田区,,
2,中央区,16,9,56.3,16,7,43.8,16,5,31.3,16,6,37.5,16,5,31.3,16,7,43.8,16,8,50.0,16,7,43.8,128,54,42.2,2,中央区,,
3,港区,19,9,47.4,19,12,63.2,19,19,100.0,19,19,100.0,19,19,100.0,19,18,94.7,19,17,89.5,18,18,100.,151,131,86.8,3,港区,,
4,新宿区,29,10,34.5,29,14,48.3,29,11,37.9,29,20,69.0,29,23,79.3,29,20,69.0,29,19,65.5,29,26,89.7,232,143,61.6,4,新宿区,,
5,文京区,20,15,75.0,20,15,75.0,20,15,75.0,20,16,80.0,20,17,85.0,20,14,70.0,20,15,75.0,20,16,30.0,160,123,76.9,5,文京区,,
6,台東区,19,8,42.1,19,7,36.8,19,7,36.8,19,5,26.3,19,4,21.1,19,5,26.3,19,5,26.3,19,7,36.8,152,48,31.6,6,台東区,,
7,墨田区,26,24,92.3,26,22,84.6,25,23,92.0,25,23,92.0,25,18,72.0,25,20,80.0,25,18,72.0,25,16,64.0,202,164,81.2,7,墨田区,,
8,江東区,43,32,74.4,43,14,32.6,44,20,45.5,44,19,43.2,44,23,52.3,44,22,50.0,44,29,65.9,45,30,66.7,351,189,53.8,8,江東区,,
9,品川区,38,12,31.6,38,9,23.7,38,11,28.9,38,14,36.8,37,12,32.4,37,11,29.7,37,16,43.2,37,14,37.8,300,99,33.0,9,品川区,,
10,目黒区,22,21,95.5,22,22,100.0,22,20,90.9,22,21,95.5,22,22,100.0,22,22,100.0,22,22,100.0,22,22,100.0,176,172,97.7,10,目黒区,,
11,大田区,60,23,38.3,60,26,43.3,59,25,42.4,59,29,49.2,59,22,37.3,59,29,49.2,59,28,47.5,60,26,43.3,475,208,43.8,11,大田区,,
12,世田谷区,64,15,23.1,64,23,35.9,64,21,32.8,64,30,46.9,64,28,43.8,64,24,37.5,64,24,37.5,64,24,37.5,512,189,36.9,12,世田谷区,,
13,渋谷区,20,20,100.0,20,19,95.0,20,20,100.0,19,19,100.0,18,18,100.0,18,18,100.0,19,18,94.7,18,17,94.4,152,149,98.0,13,渋谷区,,
14,中野区,26,14,53.8,26,15,57.7,25,14,56.0,25,15,60.0,25,19,76.0,25,16,64.0,25,17,68.0,25,23,92.0,202,133,65.8,14,中野区,,
15,杉並区,43,19,44.2,43,33,76.7,43,24,55.8,43,24,55.8,42,22,52.4,42,25,59.5,42,27,64.3,41,25,61.0,339,199,58.7,15,杉並区,,
16,豊島区,23,13,56.5,23,15,65.2,23,13,56.5,23,14,60.9,23,16,69.6,22,14,63.6,22,15,68.2,22,22,100.0,181,122,67.4,16,豊島区,,
17,北区,38,13,34.2,38,21,55.3,38,16,42.1,38,14,36.8,38,15,39.5,37,21,56.8,37,19,51.4,36,23,63.9,300,142,47.3,17,北区,,
18,荒川区,24,14,58.3,24,11,45.8,24,12,50.0,24,13,54.2,24,13,54.2,24,13,54.2,24,13,54.2,24,11,45.8,192,100,52.1,18,荒川区,,
19,板橋区,54,29,53.7,54,25,46.3,54,29,53.7,54,35,64.8,53,40,75.5,52,37,71.2,52,43,82.7,53,38,71.7,426,276,64.8,19,板橋区,,
20,練馬区,65,26,40.0,65,31,47.7,65,30,46.2,65,33,50.8,65,35,53.8,65,37,56.9,65,42,64.6,65,39,60.0,520,273,52.5,20,練馬区,,
21,足立区,72,48,66.7,72,22,30.6,72,31,43.1,71,35,49.3,70,35,50.0,70,38,54.3,70,30,42.9,69,41,59.4,566,280,49.5,21,足立区,,
22,葛飾区,49,12,24.5,49,10,20.4,49,17,34.7,50,12,24.0,49,13,26.5,49,11,22.4,49,7,14.3,49,15,30.6,393,97,24.7,22,葛飾区,,
23,江戸川区,73,43,58.9,73,45,61.6,73,47,64.4,73,38,52.1,73,36,49.3,73,37,50.7,73,40,54.8,73,40,54.8,584,326,55.8,23,江戸川区,,
区部小計,,851,431,50.6,851,422,49.6,841,436,51.8,848,456,53.8,842,458,54.4,839,463,55.2,840,475,56.5,838,504,60.1,"6,750","3,645",54.0,区部小計,,,
24,八王子市,70,32,45.7,70,33,47.1,70,35,50.0,70,34,48.6,70,37,52.9,70,33,47.1,70,35,50.0,70,37,52.9,560,276,49.3,24,八王子市,,
25,立川市,20,7,35.0,20,8,40.0,20,10,50.0,20,7,35.0,20,9,45.0,20,7,35.0,20,8,40.0,20,7,35.0,160,63,39.4,25,立川市,,
26,武蔵野市,12,6,50.0,12,7,58.3,12,10,83.3,12,9,75.0,12,8,66.7,12,8,66.7,12,8,66.7,12,7,58.3,96,63,65.6,26,武蔵野市,,
27,三鷹市,15,8,53.3,15,4,26.7,15,7,46.7,15,5,33.3,15,6,40.0,15,7,46.7,15,7,46.7,15,5,33.3,120,49,40.8,27,三鷹市,,
28,青梅市,17,6,35.3,17,6,35.3,17,5,29.4,17,8,47.1,17,7,41.2,17,6,35.3,17,11,64.7,17,10,58.8,136,59,43.4,28,青梅市,,
29,府中市,22,15,68.2,22,12,54.5,22,19,86.4,22,15,68.2,22,14,63.6,22,16,72.7,22,15,68.2,22,16,72.7,176,122,69.3,29,府中市,,
30,昭島市,15,10,66.7,15,11,73.3,15,10,66.7,15,15,100.0,15,15,100.0,15,15,100.0,15,14,93.3,14,13,92.9,119,103,86.6,30,昭島市,,
31,調布市,20,7,35.0,20,8,40.0,20,6,30.0,20,8,40.0,20,8,40.0,20,9,45.0,20,8,40.0,20,7,35.0,160,61,38.1,31,調布市,,
32,町田市,42,8,19.0,42,8,19.0,42,4,9.5,42,6,14.3,42,6,14.3,42,9,21.4,42,12,28.6,42,13,31.0,336,66,19.6,32,町田市,,
33,小金井市,9,6,66.7,9,9,100.0,9,6,66.7,9,6,66.7,9,6,66.7,9,5,55.6,9,7,77.8,9,7,77.8,72,52,72.2,33,小金井市,,
34,小平市,19,11,57.9,19,12,63.2,19,11,57.9,19,8,42.0,19,9,47.4,19,14,73.7,19,13,68.4,19,14,73.7,152,92,60.5,34,小平市,,
35,日野市,17,11,64.7,17,13,76.5,17,11,64.7,17,11,64.7,17,11,64.7,17,13,76.5,17,14,82.4,17,13,76.5,136,97,71.3,35,日野市,,
36,東村山市,15,10,66.7,15,15,100.0,15,15,100.0,15,15,100.0,15,15,100.0,15,15,100.0,15,15,100.0,15,15,100.0,120,115,95.8,36,東村山市,,
37,国分寺市,10,2,20.0,10,3,30.0,10,4,40.0,10,4,40.0,10,6,60.0,10,5,50.0,10,5,50.0,10,6,60.0,80,35,43.8,37,国分寺市,,
38,国立市,8,5,62.5,8,8,100.0,8,8,100.0,8,8,100.0,8,8,100.0,8,8,100.0,8,8,100.0,8,8,100.0,64,61,95.3,38,国立市,,
39,福生市,7,2,28.6,7,5,71.4,7,7,100.0,7,6,85.7,7,6,85.7,7,6,85.7,7,5,71.4,7,6,85.7,56,43,76.8,39,福生市,,
40,狛江市,6,2,33.3,6,2,33.3,6,2,33.3,6,2,33.3,6,3,50.0,6,3,50.0,6,5,83.3,6,4,66.7,48,23,47.9,40,狛江市,,
41,東大和市,10,6,60.0,10,5,50.0,10,7,70.0,10,5,50.0,10,5,50.0,10,4,40.0,10,10,100.0,10,10,100.0,80,52,65.0,41,東大和市,,
42,清瀬市,9,6,66.7,9,4,44.4,9,3,33.3,9,4,44.0,9,4,44.4,9,2,22.2,9,2,22.2,9,3,33.3,72,28,38.9,42,清瀬市,,
43,東久留米市,14,3,21.4,14,4,28.6,14,3,21.4,13,5,38.5,13,3,23.1,13,7,53.8,13,7,53.8,13,7,53.8,107,39,36.4,43,東久留米市,,
44,武蔵村山市,9,1,11.1,9,2,22.2,9,2,22.2,9,4,44.4,9,7,77.8,9,7,77.8,9,8,88.9,9,7,77.8,72,38,52.8,44,武蔵村山市,,
45,多摩市,20,11,55.0,20,14,70.0,18,12,66.7,18,18,100.0,18,10,55.6,18,9,50.0,18,9,50.0,17,8,47.1,147,91,61.9,45,多摩市,,
46,稲城市,11,6,54.5,11,11,100.0,11,10,90.9,11,9,81.8,11,11,100.0,11,10,90.9,11,10,90.9,12,11,91.7,89,78,87.6,46,稲城市,,
47,羽村市,7,6,85.7,7,6,85.7,7,5,71.4,7,7,100.0,7,7,100.0,7,7,100.0,7,7,100.0,7,7,100.0,56,52,92.9,47,羽村市,,
