区分,調査数,調査数／割合(%),区市町村による駐輪場の設置,区市町村による駐輪場の設置／割合(%),自転車利用の集客がある施設・店舗への駐輪場設置の義務付け,自転車利用の集客がある施設・店舗への駐輪場設置の義務付け／割合(%),放置防止指導員の配置,放置防止指導員の配置／割合(%),撤去活動の強化,撤去活動の強化／割合(%),放置した者に対するペナルティの仕組み,放置した者に対するペナルティの仕組み／割合(%),廃棄費用前払い制度の創設,廃棄費用前払い制度の創設／割合(%),その他,その他／割合(%),無回答,無回答／割合(%)
全体,368,100.0 ,256,69.6 ,215,58.4 ,66,17.9 ,116,31.5 ,163,44.3 ,52,14.1 ,18,4.9 ,6,1.6 
15～19歳,59,100.0 ,45,76.3 ,29,49.2 ,8,13.6 ,14,23.7 ,20,33.9 ,4,6.8 ,-,-,-,-
20～29歳,69,100.0 ,51,73.9 ,38,55.1 ,13,18.8 ,21,30.4 ,27,39.1 ,13,18.8 ,3,4.3 ,-,-
30～39歳,84,100.0 ,57,67.9 ,48,57.1 ,15,17.9 ,27,32.1 ,45,53.6 ,15,17.9 ,7,8.3 ,-,-
40～49歳,42,100.0 ,28,66.7 ,23,54.8 ,3,7.1 ,16,38.1 ,17,40.5 ,5,11.9 ,3,7.1 ,2,4.8 
50～59歳,27,100.0 ,20,74.1 ,20,74.1 ,5,18.5 ,9,33.3 ,10,37.0 ,5,18.5 ,1,3.7 ,-,-
60～69歳,49,100.0 ,31,63.3 ,33,67.3 ,8,16.3 ,13,26.5 ,24,49.0 ,5,10.2 ,2,4.1 ,1,2.0 
70歳以上,36,100.0 ,24,66.7 ,22,61.1 ,14,38.9 ,15,41.7 ,19,52.8 ,4,11.1 ,2,5.6 ,3,8.3 
