年齢,基数,構成比(%)
15～19歳,59,16.0
20～29歳,69,18.8
30～39歳,84,22.8
40～49歳,42,11.4
50～59歳,27,7.3
60～69歳,49,13.3
70歳以上,36,9.8
無回答,2,0.5
