区分,池上仲通り（平日）／実験前／7時台,池上仲通り（平日）／実験前／8時台,池上仲通り（平日）／実験前／9時台,池上仲通り（平日）／実験前／10時台,池上仲通り（平日）／実験前／11時台,池上仲通り（平日）／実験前／12時台,池上仲通り（平日）／実験前／13時台,池上仲通り（平日）／実験前／14時台,池上仲通り（平日）／実験前／15時台,池上仲通り（平日）／実験前／16時台,池上仲通り（平日）／実験前／17時台,池上仲通り（平日）／実験前／18時台,池上仲通り（平日）／実験中／7時台,池上仲通り（平日）／実験中／8時台,池上仲通り（平日）／実験中／9時台,池上仲通り（平日）／実験中／10時台,池上仲通り（平日）／実験中／11時台,池上仲通り（平日）／実験中／12時台,池上仲通り（平日）／実験中／13時台,池上仲通り（平日）／実験中／14時台,池上仲通り（平日）／実験中／15時台,池上仲通り（平日）／実験中／16時台,池上仲通り（平日）／実験中／17時台,池上仲通り（平日）／実験中／18時台,池上仲通り（休日）／実験前／11時台,池上仲通り（休日）／実験前／12時台,池上仲通り（休日）／実験前／13時台,池上仲通り（休日）／実験前／14時台,池上仲通り（休日）／実験前／15時台,池上仲通り（休日）／実験前／16時台,池上仲通り（休日）／実験中／11時台,池上仲通り（休日）／実験中／12時台,池上仲通り（休日）／実験中／13時台,池上仲通り（休日）／実験中／14時台,池上仲通り（休日）／実験中／15時台,池上仲通り（休日）／実験中／16時台
路側帯（台）,9,14,30,7,0,1,3,0,1,1,0,0,11,3,19,1,5,0,0,0,0,0,5,0,3,2,1,1,0,0,0,0,0,0,0,0
車道ナビ順守（台）,45,143,120,131,152,126,65,106,138,97,124,141,69,148,120,130,156,108,160,106,196,108,280,204,243,217,232,236,287,257,236,151,173,75,210,173
車道ナビ非順守（台）,110,80,89,92,111,122,148,169,190,274,353,234,8,14,13,16,40,33,28,12,21,25,46,18,87,121,84,175,72,124,145,192,129,268,127,283
ナビ順守率(%),27,60,50,57,58,51,30,39,42,26,26,38,78,90,79,88,78,77,85,90,90,81,85,92,73,64,73,57,80,67,62,44,57,22,62,38
