区分,数量,ある構成比(%),ない構成比(%),無回答構成比(%)
全体,368,48.6,49.5,1.9
15～19歳,59,40.7,59.3,0
20～29歳,69,37.7,62.3,0
30～39歳,84,52.4,47.6,0
40～49歳,42,64.3,35.7,0
50～59歳,27,51.9,48.1,0
60～69歳,49,55.1,42.9,2
70歳以上,36,47.2,41.7,11.1
