区分,数量,はい構成比(%),いいえ構成比(%),無回答構成比(%)
全体,368,90.5,6.8,2.7
15～19歳,59,96.6,3.4,0
20～29歳,69,87,13,0
30～39歳,84,89.3,10.7,0
40～49歳,42,95.2,2.4,2.4
50～59歳,27,100,0,0
60～69歳,49,87.8,6.1,6.1
70歳以上,36,83.3,2.8,13.9
