万引きを思い止まったこと,クラスタ1,クラスタ1割合(%),クラスタ2,クラスタ2割合(%),合計,合計割合(%)
ある,9,26.5,10,58.8,19,37.3
ない,25,73.5,7,41.2,32,62.7
合計,34,100,17,100,51,100
