区分,ほぼ毎日構成比(%),週に2～3回構成比(%),週に1回位構成比(%),月に数回構成比(%),ごくたまに通る構成比(%),通らない構成比(%)
自転車（n=406）,24.4,31.5,13.5,10.1,16.0,4.4
歩行者（n=435）,40.7,26.2,12.0,7.4,10.6,3.2
自動車（n=40）,27.5,22.5,12.5,5.0,27.5,5.0
