区分,数量,ダイナモ式（従来型・こぐと重く感じるタイプ）構成比(%),ハブダイナモ式（自動点灯型・暗くなると自動的にライトが付くタイプ）構成比(%),着脱式構成比(%),その他構成比(%)
全体,216,52.8,31,19,2.3
15～19歳,40,52.5,35,17.5,-
20～29歳,34,67.6,17.6,20.8,-
30～39歳,47,29.8,44.7,27.7,2.1
40～49歳,25,52,44,4,4
50～59歳,18,66.7,27.8,16.7,5.6
60～69歳,31,54.8,25.8,16.7,6.5
70歳以上,19,73.7,10.5,26.3,-
