区分,数量,はい構成比(%),いいえ構成比(%),無回答構成比(%)
全体,368,91.8,5.4,2.7
15～19歳,59,93.2,6.8,0
20～29歳,69,88.4,11.6,0
30～39歳,84,98.8,1.2,0
40～49歳,42,95.2,2.4,2.4
50～59歳,27,96.3,3.7,0
60～69歳,49,87.8,4.1,8.2
70歳以上,36,80.6,8.3,11.1
