区分,数量,はい構成比(%),いいえ構成比(%),無回答構成比(%)
全体,368,77.7,20.1,2.2
15～19歳,59,76.3,23.7,0
20～29歳,69,66.7,33.3,0
30～39歳,84,75,25,0
40～49歳,42,85.7,11.9,2.4
50～59歳,27,85.2,14.8,0
60～69歳,49,83.7,10.2,6.1
70歳以上,36,86.1,5.6,8.3
