区市町,平成28年度予算／投資的経費（千円）,平成27年度決算／投資的経費（千円）,平成28年度予算／消費的経費（千円）,平成27年度決算／消費的経費（千円）
千代田区,10612,0,125217,92420
中央区,4753,45655,182128,167381
港区,0,0,454099,348447
新宿区,76642,168096,440432,373428
文京区,22450,0,155557,99795
台東区,0,0,328211,307705
墨田区,13389,1654,296431,271785
江東区,0,0,191473,174040
品川区,602800,385352,349357,333139
目黒区,6731,63342,136574,128373
大田区,1296105,1013125,1342389,1131389
世田谷区,2000,230357,447703,456816
渋谷区,1000,815,65962,65310
中野区,1897,21763,430189,396790
杉並区,63226,10639,937904,901654
豊島区,1311270,416317,605285,583674
北区,21704,49753,270013,219790
荒川区,9723,12342,131749,126965
板橋区,74866,34940,920847,853543
練馬区,394958,486585,891745,862283
足立区,267467,84966,602856,580178
葛飾区,69497,11420,318161,299371
江戸川区,69197,83933,1351193,1256519
八王子市,57647,43578,138940,118592
立川市,37304,99390,446922,441658
武蔵野市,5400,172429,483004,482652
三鷹市,4199,8782,204983,206746
青梅市,0,0,63230,67653
府中市,1880,704,165699,162250
昭島市,0,43348,165732,166316
調布市,232649,16124,270163,254179
町田市,5901,148730,97177,96218
小金井市,6642,3100,205943,208410
小平市,21803,29867,266657,283723
日野市,0,0,22146,19897
東村山市,0,727381,211077,194805
国分寺市,0,0,239349,339028
国立市,575347,779255,146903,151902
福生市,0,13468,30499,30032
狛江市,0,0,18821,18518
東大和市,0,6750,23105,22023
清瀬市,0,0,15922,17235
東久留米市,0,756,108932,88987
多摩市,102140,34247,58060,70482
稲城市,0,0,2098,1968
羽村市,0,0,20081,19441
あきる野市,0,110078,14048,13500
西東京市,0,0,193441,191010
瑞穂町,0,2916,12490,12496
