区分,数量,区市町村による駐輪場の設置構成比(%),自転車利用の集客がある施設・店舗への駐輪場設置の義務付け構成比(%),放置した者に対するペナルティの仕組み構成比(%),撤去活動の強化構成比(%),,,,
全体,368,69.6,58.4,44.3,31.5,,,,
15～19歳,59,76.3,49.2,33.9,23.7,,,,
20～29歳,69,73.9,55.1,39.1,30.4,,,,
30～39歳,84,67.9,57.1,53.6,32.1,,,,
40～49歳,42,66.7,54.8,40.5,38.1,,,,
50～59歳,27,74.1,74.1,37,33.3,,,,
60～69歳,49,63.3,67.3,49,26.5,,,,
70歳以上,36,66.7,61.1,52.8,41.7,,,,
