区分,ｎ(団体数),問１１今後必要と思われる、高齢者を対象とした見守り活動の取組／地域ぐるみで振り込め詐欺などの被害を防ぐための取組(%),問１１今後必要と思われる、高齢者を対象とした見守り活動の取組／地域ぐるみで高齢者の孤立化を防ぐための取組(%),問１１今後必要と思われる、高齢者を対象とした見守り活動の取組／地域で高齢者とコミュニケーションを図ることができる取組(%),問１１今後必要と思われる、高齢者を対象とした見守り活動の取組／高齢者の経験を活かすことができる取組(%),問１１今後必要と思われる、高齢者を対象とした見守り活動の取組／必要性は感じているが、具体的な取組方法が分からない(%),問１１今後必要と思われる、高齢者を対象とした見守り活動の取組／必要性を感じていない(%),問１１今後必要と思われる、高齢者を対象とした見守り活動の取組／その他(%),問１１今後必要と思われる、高齢者を対象とした見守り活動の取組／無回答(%)
全体,1034,53.8,63.7,57.3,36.4,12.4,2.1,3.2,6.9
区市町村／千代田区,13,53.8,61.5,53.8,23.1,0,7.7,0,15.4
区市町村／中央区,6,16.7,66.7,16.7,33.3,33.3,16.7,0,0
区市町村／港区,13,30.8,53.8,23.1,15.4,23.1,0,0,23.1
区市町村／新宿区,17,64.7,64.7,58.8,23.5,5.9,0,0,0
区市町村／文京区,25,44,64,36,28,24,8,8,4
区市町村／台東区,16,25,43.8,56.3,0,0,0,0,25
区市町村／墨田区,37,56.8,73,43.2,32.4,18.9,5.4,2.7,5.4
区市町村／江東区,49,69.4,79.6,61.2,49,8.2,2,2,6.1
区市町村／品川区,27,74.1,81.5,63,44.4,11.1,0,3.7,7.4
区市町村／目黒区,7,71.4,42.9,28.6,28.6,0,14.3,0,0
区市町村／大田区,53,56.6,62.3,67.9,39.6,3.8,1.9,3.8,5.7
区市町村／世田谷区,44,61.4,61.4,59.1,52.3,15.9,0,4.5,2.3
区市町村／渋谷区,24,54.2,79.2,45.8,50,8.3,0,0,16.7
区市町村／中野区,32,59.4,56.3,34.4,21.9,18.8,0,6.3,6.3
区市町村／杉並区,75,46.7,50.7,46.7,30.7,17.3,4,4,9.3
区市町村／豊島区,12,33.3,50,50,8.3,25,0,8.3,8.3
区市町村／北区,10,90,50,90,50,20,0,0,0
区市町村／荒川区,26,73.1,65.4,46.2,30.8,7.7,7.7,3.8,7.7
区市町村／板橋区,46,56.5,65.2,69.6,43.5,23.9,0,4.3,0
区市町村／練馬区,22,68.2,86.4,77.3,40.9,4.5,0,9.1,9.1
区市町村／足立区,65,50.8,63.1,58.5,35.4,7.7,1.5,0,9.2
区市町村／葛飾区,17,64.7,64.7,47.1,17.6,29.4,0,0,5.9
区市町村／江戸川区,18,61.1,55.6,66.7,55.6,5.6,0,0,5.6
区市町村／八王子市,46,47.8,56.5,63,32.6,13,2.2,2.2,6.5
区市町村／立川市,17,47.1,58.8,64.7,41.2,35.3,0,11.8,11.8
区市町村／武蔵野市,12,75,41.7,75,8.3,8.3,0,0,0
区市町村／三鷹市,5,40,60,60,20,20,20,0,0
区市町村／青梅市,17,41.2,52.9,64.7,35.3,5.9,0,5.9,5.9
区市町村／府中市,21,42.9,61.9,38.1,28.6,14.3,0,4.8,14.3
区市町村／昭島市,17,52.9,58.8,64.7,58.8,11.8,0,0,5.9
区市町村／調布市,19,31.6,47.4,42.1,21.1,10.5,10.5,5.3,21.1
区市町村／町田市,60,35,73.3,75,41.7,6.7,1.7,3.3,5
区市町村／小金井市,10,10,40,60,20,30,0,0,0
区市町村／小平市,4,75,50,75,50,50,0,0,0
区市町村／日野市,3,100,66.7,66.7,100,0,0,0,0
区市町村／東村山市,24,75,75,54.2,62.5,4.2,4.2,0,0
区市町村／国分寺市,5,40,40,40,40,40,0,0,20
区市町村／国立市,2,100,100,100,0,0,0,50,0
区市町村／福生市,11,54.5,72.7,63.6,54.5,0,0,0,0
区市町村／狛江市,2,100,50,50,0,0,0,0,0
区市町村／東大和市,15,60,73.3,46.7,40,13.3,6.7,6.7,6.7
区市町村／清瀬市,10,60,70,80,50,20,0,0,10
区市町村／東久留米市,1,100,100,0,0,0,0,0,0
区市町村／武蔵村山市,10,60,80,90,60,0,0,10,0
区市町村／多摩市,6,16.7,100,100,50,0,0,0,0
区市町村／稲城市,13,69.2,53.8,38.5,23.1,15.4,0,0,7.7
区市町村／羽村市,3,66.7,66.7,66.7,66.7,0,0,0,0
区市町村／あきる野市,21,42.9,57.1,52.4,28.6,9.5,0,0,9.5
区市町村／西東京市,4,50,50,50,25,0,0,0,25
区市町村／瑞穂町,5,40,80,60,60,0,0,20,0
区市町村／日の出町,16,50,75,68.8,12.5,0,0,6.3,0
区市町村／檜原村,1,100,100,0,100,0,0,0,0
