区分,構成比(%),,,,,,
歩道を走る自転車が増えた,3.1,,,,,,
全体的に歩きにくくなった,3.4,,,,,,
自転車とのヒヤリ・ハットが増えた,4.1,,,,,,
自転車の速度が前より速くなった,4.4,,,,,,
特に悪くなったことはない,42.4,,,,,,
わからない,43.4,,,,,,
その他,6.1,,,,,,
