区分,構成比(%)
路側帯の中を走る自転車が増えた,2.8
全体的に歩きにくくなった,2.6
自転車とのヒヤリ・ハットが増えた,1.2
自転車の速度が前より速くなった,2.6
特に悪くなったことはない,55.3
わからない,32.0
その他,8.9
