区分,数量,はい構成比(%),いいえ構成比(%),無回答構成比(%)
全体,368,92.1,4.9,3
15～19歳,59,89.8,10.2,0
20～29歳,69,92.8,7.2,0
30～39歳,84,94,6,0
40～49歳,42,97.6,0,2.4
50～59歳,27,100,0,0
60～69歳,49,89.8,2,8.2
70歳以上,36,83.3,2.8,13.9
