区分,自転車,歩行者,自動車,,,,,
ナビマークについて,5,8,-,,,,,
路上駐車対策,8,13,3,,,,,
路上看板・店舗前自転車等の規制,-,2,-,,,,,
駐輪場整備,6,6,2,,,,,
交通ルール徹底・マナー向上・規制強化,93,140,27,,,,,
自転車走行空間の整備,32,30,6,,,,,
その他,40,34,7,,,,,
