区分,ｎ(団体数),１町会・自治会／連携している(%),１町会・自治会／連携していない(%),ｎ(団体数),２防犯協会／連携している(%),２防犯協会／連携していない(%),ｎ(団体数),３商店会／連携している(%),３商店会／連携していない(%),ｎ(団体数),４ＰＴＡ／連携している(%),４ＰＴＡ／連携していない(%)
全体,891,85.1,14.9,864,85.9,14.1,594,45.1,54.9,689,66,34
区市町村／千代田区,12,91.7,8.3,12,91.7,8.3,7,57.1,42.9,10,70,30
区市町村／中央区,5,60,40,4,75,25,4,25,75,5,80,20
区市町村／港区,12,91.7,8.3,11,100,0,9,88.9,11.1,10,90,10
区市町村／新宿区,14,78.6,21.4,15,86.7,13.3,10,60,40,9,55.6,44.4
区市町村／文京区,19,68.4,31.6,22,77.3,22.7,18,44.4,55.6,19,63.2,36.8
区市町村／台東区,14,100,0,14,100,0,6,66.7,33.3,12,66.7,33.3
区市町村／墨田区,34,88.2,11.8,32,90.6,9.4,21,38.1,61.9,24,75,25
区市町村／江東区,48,85.4,14.6,46,87,13,30,53.3,46.7,41,78,22
区市町村／品川区,26,100,0,25,92,8,14,35.7,64.3,20,60,40
区市町村／目黒区,5,100,0,4,100,0,3,66.7,33.3,3,100,0
区市町村／大田区,46,93.5,6.5,43,79.1,20.9,33,48.5,51.5,35,80,20
区市町村／世田谷区,38,78.9,21.1,38,76.3,23.7,26,53.8,46.2,33,66.7,33.3
区市町村／渋谷区,20,90,10,21,100,0,19,84.2,15.8,16,56.3,43.8
区市町村／中野区,29,89.7,10.3,28,85.7,14.3,22,59.1,40.9,20,65,35
区市町村／杉並区,66,78.8,21.2,57,78.9,21.1,52,50,50,51,56.9,43.1
区市町村／豊島区,8,87.5,12.5,7,71.4,28.6,8,62.5,37.5,9,77.8,22.2
区市町村／北区,9,77.8,22.2,8,100,0,3,66.7,33.3,3,66.7,33.3
区市町村／荒川区,21,85.7,14.3,21,95.2,4.8,10,40,60,11,63.6,36.4
区市町村／板橋区,39,87.2,12.8,39,100,0,23,73.9,26.1,28,89.3,10.7
区市町村／練馬区,12,75,25,18,83.3,16.7,11,36.4,63.6,15,53.3,46.7
区市町村／足立区,58,96.6,3.4,59,98.3,1.7,28,25,75,37,67.6,32.4
区市町村／葛飾区,14,92.9,7.1,14,100,0,4,50,50,10,100,0
区市町村／江戸川区,17,88.2,11.8,14,71.4,28.6,12,41.7,58.3,14,71.4,28.6
区市町村／八王子市,39,92.3,7.7,42,97.6,2.4,23,13,87,29,55.2,44.8
区市町村／立川市,13,61.5,38.5,10,50,50,9,44.4,55.6,10,90,10
区市町村／武蔵野市,8,50,50,12,91.7,8.3,9,66.7,33.3,9,55.6,44.4
区市町村／三鷹市,5,60,40,5,60,40,3,33.3,66.7,4,50,50
区市町村／青梅市,17,88.2,11.8,16,81.3,18.8,14,14.3,85.7,15,73.3,26.7
区市町村／府中市,19,84.2,15.8,19,100,0,11,27.3,72.7,16,68.8,31.3
区市町村／昭島市,16,100,0,16,100,0,14,50,50,14,64.3,35.7
区市町村／調布市,14,78.6,21.4,10,70,30,8,62.5,37.5,11,63.6,36.4
区市町村／町田市,58,91.4,8.6,44,61.4,38.6,38,47.4,52.6,44,68.2,31.8
区市町村／小金井市,9,77.8,22.2,7,57.1,42.9,5,20,80,6,50,50
区市町村／小平市,2,50,50,2,100,0,2,100,0,1,100,0
区市町村／日野市,3,66.7,33.3,3,100,0,2,50,50,2,100,0
区市町村／東村山市,19,52.6,47.4,23,87,13,16,25,75,19,42.1,57.9
区市町村／国分寺市,3,100,0,4,75,25,4,50,50,4,50,50
区市町村／国立市,1,100,0,1,100,0,0,0,0,0,0,0
区市町村／福生市,9,100,0,10,90,10,7,42.9,57.1,10,90,10
区市町村／狛江市,0,0,0,2,100,0,0,0,0,0,0,0
区市町村／東大和市,12,58.3,41.7,12,91.7,8.3,9,33.3,66.7,9,33.3,66.7
区市町村／清瀬市,6,83.3,16.7,8,87.5,12.5,5,20,80,4,25,75
区市町村／東久留米市,1,100,0,0,0,0,0,0,0,1,100,0
区市町村／武蔵村山市,9,88.9,11.1,8,87.5,12.5,5,20,80,6,33.3,66.7
区市町村／多摩市,5,100,0,5,60,40,4,25,75,4,25,75
区市町村／稲城市,12,75,25,11,90.9,9.1,8,25,75,8,37.5,62.5
区市町村／羽村市,2,50,50,1,0,100,1,0,100,2,50,50
区市町村／あきる野市,19,78.9,21.1,18,77.8,22.2,10,0,100,12,75,25
区市町村／西東京市,3,100,0,4,100,0,2,100,0,3,100,0
区市町村／瑞穂町,5,80,20,4,50,50,3,0,100,3,0,100
区市町村／日の出町,15,80,20,14,78.6,21.4,8,37.5,62.5,7,14.3,85.7
区市町村／檜原村,1,0,100,1,0,100,1,0,100,1,0,100
