普段メールをするか,被疑者65歳未満／男(N=32)(%),被疑者65歳未満／女(N=39)(%),被疑者65歳以上／男(N=23)(%),被疑者65歳以上／女(N=31)(%),一般65歳以上／男(N=663)(%),一般65歳以上／女(N=651)(%)
する,50,76.9,26.1,9.7,58.5,65.6
しない,50,23.1,73.9,90.3,41.5,34.4
