区分,構成比(%),,,,,,
歩道を走る自転車が増えた,3.6,,,,,,
全体的に歩きにくくなった,7.1,,,,,,
自転車とのヒヤリ・ハットが増えた,3.9,,,,,,
自転車の速度が前より速くなった,7.4,,,,,,
特に悪くなったことはない,50.8,,,,,,
わからない,30.4,,,,,,
その他,6.1,,,,,,
