区分,ｎ(団体数),９警察署／連携している(%),９警察署／連携していない(%),ｎ(団体数),１０消防署／連携している(%),１０消防署／連携していない(%),ｎ(団体数),１１その他／連携している(%),１１その他／連携していない(%)
全体,893,93.3,6.7,726,72.9,27.1,169,34.3,65.7
区市町村／千代田区,12,100,0,9,55.6,44.4,4,25,75
区市町村／中央区,6,83.3,16.7,6,50,50,1,0,100
区市町村／港区,13,100,0,7,100,0,5,100,0
区市町村／新宿区,17,100,0,11,100,0,3,33.3,66.7
区市町村／文京区,24,87.5,12.5,21,52.4,47.6,8,25,75
区市町村／台東区,14,100,0,8,62.5,37.5,2,50,50
区市町村／墨田区,33,97,3,26,84.6,15.4,4,25,75
区市町村／江東区,44,88.6,11.4,40,82.5,17.5,6,33.3,66.7
区市町村／品川区,23,100,0,22,86.4,13.6,2,100,0
区市町村／目黒区,5,100,0,5,100,0,2,50,50
区市町村／大田区,47,85.1,14.9,37,64.9,35.1,9,33.3,66.7
区市町村／世田谷区,41,95.1,4.9,33,69.7,30.3,9,55.6,44.4
区市町村／渋谷区,21,100,0,17,76.5,23.5,6,50,50
区市町村／中野区,29,96.6,3.4,26,84.6,15.4,4,0,100
区市町村／杉並区,63,96.8,3.2,50,64,36,17,17.6,82.4
区市町村／豊島区,9,88.9,11.1,7,28.6,71.4,2,50,50
区市町村／北区,10,100,0,7,85.7,14.3,0,0,0
区市町村／荒川区,21,100,0,14,85.7,14.3,3,33.3,66.7
区市町村／板橋区,38,100,0,32,84.4,15.6,6,33.3,66.7
区市町村／練馬区,18,94.4,5.6,15,73.3,26.7,4,25,75
区市町村／足立区,56,98.2,1.8,49,87.8,12.2,9,33.3,66.7
区市町村／葛飾区,13,100,0,12,100,0,1,100,0
区市町村／江戸川区,15,86.7,13.3,11,72.7,27.3,4,50,50
区市町村／八王子市,40,92.5,7.5,28,71.4,28.6,7,28.6,71.4
区市町村／立川市,12,83.3,16.7,10,70,30,2,0,100
区市町村／武蔵野市,12,100,0,9,66.7,33.3,2,50,50
区市町村／三鷹市,5,100,0,4,50,50,0,0,0
区市町村／青梅市,17,94.1,5.9,15,73.3,26.7,3,0,100
区市町村／府中市,19,100,0,17,100,0,5,40,60
区市町村／昭島市,15,93.3,6.7,14,85.7,14.3,3,0,100
区市町村／調布市,10,100,0,9,77.8,22.2,2,100,0
区市町村／町田市,53,83,17,48,77.1,22.9,6,33.3,66.7
区市町村／小金井市,8,75,25,7,42.9,57.1,3,33.3,66.7
区市町村／小平市,2,100,0,2,100,0,1,0,100
区市町村／日野市,3,100,0,2,100,0,0,0,0
区市町村／東村山市,23,91.3,8.7,16,25,75,3,66.7,33.3
区市町村／国分寺市,5,100,0,3,33.3,66.7,2,50,50
区市町村／国立市,1,100,0,1,100,0,0,0,0
区市町村／福生市,11,81.8,18.2,10,80,20,2,50,50
区市町村／狛江市,1,100,0,1,100,0,1,100,0
区市町村／東大和市,11,90.9,9.1,10,50,50,2,0,100
区市町村／清瀬市,8,100,0,5,100,0,0,0,0
区市町村／東久留米市,1,100,0,1,100,0,0,0,0
区市町村／武蔵村山市,8,87.5,12.5,7,57.1,42.9,1,0,100
区市町村／多摩市,4,50,50,4,75,25,2,0,100
区市町村／稲城市,10,90,10,9,33.3,66.7,2,50,50
区市町村／羽村市,2,100,0,1,0,100,0,0,0
区市町村／あきる野市,17,82.4,17.6,11,18.2,81.8,5,20,80
区市町村／西東京市,4,100,0,2,100,0,0,0,0
区市町村／瑞穂町,4,75,25,3,33.3,66.7,0,0,0
区市町村／日の出町,14,85.7,14.3,11,54.5,45.5,3,0,100
区市町村／檜原村,1,100,0,1,0,100,1,0,100
