区分,10名以下,11～20名,21～30名,31～40名,41～50名,51名以上,無回答,全体
現在の人数_n(団体数)=1034,133,206,175,86,83,262,89,127304
現在の人数（割合）(%)_n(団体数)=1034,12.9,19.9,16.9,8.3,8,25.3,8.6,100
結成時の人数_n(団体数)=1034,166,191,114,75,44,149,295,58595
結成時の人数（割合）(%)_n(団体数)=1034,16.1,18.5,11,7.3,4.3,14.4,28.5,100
