区分,ｎ(団体数),問１８活動している中で抱えている問題や課題について／地域とのつながりがない(%),問１８活動している中で抱えている問題や課題について／活動メンバーの確保(%),問１８活動している中で抱えている問題や課題について／活動メンバーの高齢化(%),問１８活動している中で抱えている問題や課題について／活動機会が少ない(%),問１８活動している中で抱えている問題や課題について／活動のための情報不足(%),問１８活動している中で抱えている問題や課題について／講習会・研修会等の機会不足(%),問１８活動している中で抱えている問題や課題について／行政の協力や支援不足(%),問１８活動している中で抱えている問題や課題について／活動資金の不足(%),問１８活動している中で抱えている問題や課題について／打合せ場所等の活動拠点がない(%),問１８活動している中で抱えている問題や課題について／問題や課題はない(%),問１８活動している中で抱えている問題や課題について／その他(%),問１８活動している中で抱えている問題や課題について／無回答(%)
全体,1034,7.7,54.4,68.3,4,6.8,6.1,13.2,18.5,7.7,8.2,3.9,6.7
区市町村／千代田区,13,7.7,46.2,69.2,0,0,0,7.7,7.7,0,7.7,15.4,7.7
区市町村／中央区,6,16.7,33.3,50,0,16.7,16.7,0,16.7,0,33.3,0,0
区市町村／港区,13,7.7,46.2,61.5,0,15.4,7.7,15.4,15.4,7.7,7.7,0,15.4
区市町村／新宿区,17,17.6,47.1,64.7,5.9,0,5.9,5.9,23.5,0,11.8,0,0
区市町村／文京区,25,0,44,44,0,4,8,8,4,16,24,4,4
区市町村／台東区,16,0,50,50,6.3,6.3,6.3,18.8,25,0,12.5,6.3,0
区市町村／墨田区,37,2.7,56.8,73,2.7,13.5,2.7,13.5,8.1,5.4,8.1,0,2.7
区市町村／江東区,49,4.1,49,65.3,6.1,8.2,8.2,10.2,22.4,6.1,12.2,4.1,4.1
区市町村／品川区,27,7.4,59.3,74.1,0,7.4,3.7,29.6,33.3,3.7,0,3.7,18.5
区市町村／目黒区,7,0,57.1,57.1,14.3,0,0,14.3,0,14.3,0,0,14.3
区市町村／大田区,53,3.8,62.3,66,1.9,3.8,9.4,9.4,17,7.5,7.5,3.8,7.5
区市町村／世田谷区,44,9.1,65.9,68.2,2.3,9.1,9.1,13.6,20.5,13.6,4.5,0,2.3
区市町村／渋谷区,24,12.5,54.2,70.8,4.2,4.2,0,12.5,8.3,8.3,0,4.2,12.5
区市町村／中野区,32,9.4,53.1,68.8,0,3.1,0,3.1,12.5,3.1,12.5,6.3,12.5
区市町村／杉並区,75,8,44,58.7,2.7,2.7,4,8,25.3,9.3,10.7,10.7,9.3
区市町村／豊島区,12,0,41.7,41.7,0,0,0,16.7,25,8.3,8.3,8.3,0
区市町村／北区,10,20,70,70,10,20,10,40,40,10,0,0,20
区市町村／荒川区,26,0,73.1,76.9,3.8,7.7,3.8,11.5,11.5,7.7,3.8,3.8,7.7
区市町村／板橋区,46,6.5,54.3,82.6,8.7,6.5,8.7,10.9,15.2,10.9,0,0,2.2
区市町村／練馬区,22,9.1,50,63.6,4.5,4.5,0,13.6,27.3,18.2,9.1,9.1,13.6
区市町村／足立区,65,7.7,56.9,80,3.1,7.7,7.7,15.4,15.4,6.2,4.6,4.6,7.7
区市町村／葛飾区,17,0,52.9,94.1,0,11.8,11.8,35.3,35.3,5.9,0,0,5.9
区市町村／江戸川区,18,11.1,61.1,66.7,0,11.1,11.1,11.1,0,5.6,5.6,5.6,5.6
