区分,数量,はい構成比(%),いいえ構成比(%),無回答構成比(%)
全体,368,84.8,12.2,3
15～19歳,59,86.4,13.6,0
20～29歳,69,85.5,14.5,0
30～39歳,84,82.1,17.9,0
40～49歳,42,88.1,9.5,2.4
50～59歳,27,88.9,11.1,0
60～69歳,49,81.6,8.2,10.2
70歳以上,36,86.1,2.8,11.1
