区分,自転車／屋根付（円）,自転車／屋根無（円）,原付50ccまで（円）
一般／1ヶ月,1000～2200,1000～1700,-
一般／3ヶ月,2800～6200,2800～4800,-
一般／6ヶ月,4800～10500,4800～8100,-
学生／1ヶ月,500～1700,600～1300,-
学生／3ヶ月,1400～4800,1700～3700,-
学生／6ヶ月,2400～8100,2800～6200,-
1回利用,100,-,200
1ヶ月,-,-,3000
3ヶ月,-,-,8000
6ヶ月,-,-,16000
