区分,ｎ(団体数),現在の人数／10名以下(%),現在の人数／11～20名(%),現在の人数／21～30名(%),現在の人数／31～40名(%),現在の人数／41～50名(%),現在の人数／51名以上(%),現在の人数／無回答(%),ｎ(団体数),結成時の人数10名以下(%),結成時の人数11～20名(%),結成時の人数21～30名(%),結成時の人数31～40名(%),結成時の人数41～50名(%),結成時の人数51名以上(%),結成時の人数無回答(%)
全体,1034,12.9,19.9,16.9,8.3,8,25.3,8.6,1034,16.1,18.5,11,7.3,4.3,14.4,28.5
区市町村／千代田区,13,23.1,30.8,7.7,7.7,0,23.1,7.7,13,15.4,7.7,15.4,0,7.7,15.4,38.5
区市町村／中央区,6,33.3,0,16.7,16.7,0,16.7,16.7,6,16.7,16.7,16.7,0,0,16.7,33.3
区市町村／港区,13,15.4,0,15.4,7.7,7.7,15.4,38.5,13,23.1,7.7,7.7,7.7,0,15.4,38.5
区市町村／新宿区,17,17.6,11.8,17.6,11.8,5.9,29.4,5.9,17,17.6,11.8,5.9,11.8,5.9,11.8,35.3
区市町村／文京区,25,12,20,36,0,0,16,16,25,12,20,8,4,4,4,48
区市町村／台東区,16,18.8,18.8,12.5,0,6.3,31.3,12.5,16,12.5,12.5,0,0,6.3,25,43.8
区市町村／墨田区,37,18.9,24.3,21.6,13.5,5.4,16.2,0,37,24.3,18.9,10.8,8.1,8.1,10.8,18.9
区市町村／江東区,49,8.2,16.3,12.2,10.2,8.2,36.7,8.2,49,6.1,24.5,10.2,10.2,2,20.4,26.5
区市町村／品川区,27,7.4,18.5,40.7,7.4,0,14.8,11.1,27,18.5,18.5,14.8,7.4,0,7.4,33.3
区市町村／目黒区,7,28.6,14.3,14.3,0,0,28.6,14.3,7,28.6,28.6,0,0,0,0,42.9
区市町村／大田区,53,9.4,13.2,17,20.8,9.4,26.4,3.8,53,13.2,17,5.7,18.9,5.7,20.8,18.9
区市町村／世田谷区,44,11.4,31.8,9.1,9.1,6.8,27.3,4.5,44,20.5,18.2,6.8,11.4,6.8,11.4,25
区市町村／渋谷区,24,8.3,29.2,25,8.3,12.5,12.5,4.2,24,20.8,29.2,16.7,4.2,8.3,12.5,8.3
区市町村／中野区,32,9.4,18.8,6.3,3.1,15.6,37.5,9.4,32,6.3,21.9,6.3,6.3,3.1,18.8,37.5
区市町村／杉並区,75,9.3,18.7,26.7,10.7,20,12,2.7,75,9.3,24,29.3,10.7,5.3,9.3,12
区市町村／豊島区,12,0,16.7,16.7,16.7,0,41.7,8.3,12,0,16.7,0,0,8.3,33.3,41.7
区市町村／北区,10,20,30,20,10,10,10,0,10,20,50,10,0,10,0,10
区市町村／荒川区,26,11.5,34.6,19.2,7.7,15.4,3.8,7.7,26,11.5,23.1,7.7,7.7,7.7,3.8,38.5
区市町村／板橋区,46,17.4,23.9,15.2,8.7,6.5,19.6,8.7,46,15.2,19.6,19.6,2.2,2.2,6.5,34.8
区市町村／練馬区,22,9.1,13.6,4.5,4.5,31.8,31.8,4.5,22,18.2,9.1,9.1,9.1,9.1,13.6,31.8
区市町村／足立区,65,21.5,21.5,13.8,6.2,6.2,20,10.8,65,21.5,13.8,13.8,4.6,1.5,12.3,32.3
