最終学歴,クラスタ1,クラスタ1割合(%),クラスタ2,クラスタ2割合(%),合計,合計割合(%)
高校卒まで,28,90.3,11,64.7,39,81.3
高卒以上（高卒を除く）,3,9.7,6,35.3,9,18.8
合計,31,100,17,100,48,100

