区分,自転車（円）,原付（円）,自二（円）
一般／1ヶ月,1800 ,3200 ,4200 
一般／3ヶ月,5100 ,9300 ,12300 
学生／1ヶ月,800 ,―,―
学生／3ヶ月,2100 ,―,―
1日利用,100 ,150 ,200 
