区分,団体数,団体数／割合(%),,,,,,,,,,,,
安心して暮らせる地域にしたいから,824,79.7,,,,,,,,,,,,
地域のコミュニケーションの機会をつくるため,417,40.3,,,,,,,,,,,,
犯罪に対する不安を感じたから,389,37.6,,,,,,,,,,,,
他の団体の活動内容を知って,85,8.2,,,,,,,,,,,,
その他,109,10.5,,,,,,,,,,,,
無回答,39,3.8,,,,,,,,,,,,
