区分,500円程度構成比(%),1000円程度構成比(%),2000円程度構成比(%),3000円程度構成比(%),その他構成比(%),無回答構成比(%)
点検・整備費用,33.7,36.1,14.9,5.4,7.3,2.4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
