自治体,「子供１１０番の家」の登録件数
千代田区,1541
中央区,775
港区,1210
新宿区,1496
文京区,1637
台東区,1605
墨田区,3475
江東区,3153
品川区,1824
目黒区,1915
大田区,2358
世田谷区,8593
渋谷区,917
中野区,2411
杉並区,3664
豊島区,1416
北区,3690
荒川区,2400
板橋区,2973
練馬区,5326
足立区,2633
葛飾区,3910
江戸川区,5261
八王子市,5517
立川市,
武蔵野市,1903
三鷹市,3254
青梅市,2128
府中市,1834
昭島市,583
調布市,3213
町田市,6196
小金井市,1246
小平市,1824
日野市,1404
東村山市,3186
国分寺市,1027
国立市,1157
福生市,1061
狛江市,1085
東大和市,925
清瀬市,2000
東久留米市,2035
武蔵村山市,1089
多摩市,3678
稲城市,918
羽村市,1601
あきる野市,820
西東京市,1456
瑞穂町,150
日の出町,1079
檜原村,407
奥多摩町,160
大島町,44
利島村,
新島村,
神津島村,
三宅村,
御蔵島村,
八丈町,148
青ヶ島村,
小笠原村,

