自治体,都事業（都・区市町村補助）/商店街,都事業（都・区市町村補助）/町会・自治会,都事業（都・区市町村補助）/通学路,区市町村事業（区市町村補助）/町会・自治会,区市町村事業（区市町村補助）/商店街,都事業（都・区市町村補助）・区市町村事業（区市町村補助）/設置台数計,,,,,,,,,,,,,,,,,,,,,,,,,,,
千代田区,62,39,0,0,0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区,40,89,20,73,85,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,0,0,0,296,105,401,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿区,304,59,60,0,0,423,,,,,,,,,,,,,,,,,,,,,,,,,,,
文京区,6,156,62,0,0,224,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東区,346,157,19,146,0,668,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨田区,31,192,68,0,0,291,,,,,,,,,,,,,,,,,,,,,,,,,,,
江東区,132,301,59,0,0,492,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川区,164,440,136,0,0,740,,,,,,,,,,,,,,,,,,,,,,,,,,,
目黒区,48,355,60,53,0,516,,,,,,,,,,,,,,,,,,,,,,,,,,,
大田区,88,348,100,0,0,536,,,,,,,,,,,,,,,,,,,,,,,,,,,
世田谷区,518,32,0,0,0,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
渋谷区,201,0,4,0,0,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
中野区,30,192,65,0,0,287,,,,,,,,,,,,,,,,,,,,,,,,,,,
杉並区,126,0,90,0,78,294,,,,,,,,,,,,,,,,,,,,,,,,,,,
豊島区,81,383,35,2,16,517,,,,,,,,,,,,,,,,,,,,,,,,,,,
北区,161,531,50,0,2,744,,,,,,,,,,,,,,,,,,,,,,,,,,,
荒川区,22,216,68,0,0,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
板橋区,114,307,52,0,0,473,,,,,,,,,,,,,,,,,,,,,,,,,,,
練馬区,226,214,193,9,0,642,,,,,,,,,,,,,,,,,,,,,,,,,,,
足立区,120,96,125,739,0,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,
葛飾区,43,241,0,0,0,284,,,,,,,,,,,,,,,,,,,,,,,,,,,
江戸川区,29,252,164,0,0,445,,,,,,,,,,,,,,,,,,,,,,,,,,,
八王子市,0,18,185,0,0,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
立川市,32,0,20,0,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
武蔵野市,38,5,60,0,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
三鷹市,11,71,25,0,0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
青梅市,11,9,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
府中市,31,12,0,0,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
昭島市,0,0,50,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
調布市,38,0,20,0,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
町田市,23,0,60,0,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
小金井市,0,4,34,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
小平市,0,0,25,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
日野市,0,0,10,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
東村山市,0,6,9,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
