区分,数量,買物構成比(%),余暇活動（遊びに行く・サイクリング等）構成比(%),通勤・通学（一部利用も含む）構成比(%),業務・仕事構成比(%)
全体,216,76.9,46.3,43.5,13.4
15～19歳,40,65,67.5,65,10
20～29歳,34,82.4,50,52.9,11.8
30～39歳,47,83,42.6,53.2,4.3
40～49歳,25,80,44,44,20
50～59歳,18,83.3,22.2,38.9,22.2
60～69歳,31,64.5,41.9,22.6,19.4
70歳以上,19,94.7,42.1,-,21.1
