区分,実験前／件数,実験前／割合(%),実験中／件数,実験中／割合(%),実験後／件数,実験後／割合(%)
(1)総数（(2)＋(5)）,507,100.0,553,100.0,696,100.0
(2)歩道計（(3)＋(4)）,461,90.9,489,88.4,622,89.4
(3)歩道・ナビ順守,181,39.3,354,72.4,328,52.7
(4)歩道・ナビ非順守,280,60.7,135,27.6,294,47.3
(5)車道計（(6)＋(7)）,46,9.1,64,11.6,74,10.6
(6)車道・順走,46,9.1,64,11.6,72,10.3
(7)車道・逆走,0,0.0,0,0.0,2,0.3
