区分,構成比(%)
シティサイクル（日常用自転車、ママチャリと呼ばれるタイプもこれに含む）,85.2
電動アシスト自転車,6.5
クロスバイク（マウンテンバイクとロードレーサーの中間の自転車,4.6
マウンテンバイク（オフロード用自転車）,4.2
ロードレーサー（公道での競技を想定した自転車）,3.7
折りたたみ自転車,2.8
その他,0.9
無回答,1.4
