構成比(%),ｎ(団体数),５学校／連携している(%),５学校／連携していない(%),ｎ(団体数),６地元企業・会社／連携している(%),６地元企業・会社／連携していない(%),ｎ(団体数),７地元区市町村／連携している(%),７地元区市町村／連携していない(%),ｎ(団体数),８東京都／連携している(%),８東京都／連携していない(%)
全体,748,77.1,22.9,510,24.3,75.7,686,79.2,20.8,512,33.8,66.2
区市町村／千代田区,10,70,30,8,62.5,37.5,9,66.7,33.3,5,40,60
区市町村／中央区,5,80,20,5,0,100,6,66.7,33.3,4,0,100
区市町村／港区,9,88.9,11.1,6,83.3,16.7,9,100,0,6,33.3,66.7
区市町村／新宿区,9,55.6,44.4,10,60,40,11,81.8,18.2,12,91.7,8.3
区市町村／文京区,20,65,35,15,26.7,73.3,19,57.9,42.1,17,23.5,76.5
区市町村／台東区,11,72.7,27.3,6,66.7,33.3,8,87.5,12.5,7,42.9,57.1
区市町村／墨田区,27,81.5,18.5,18,22.2,77.8,26,96.2,3.8,19,47.4,52.6
区市町村／江東区,40,82.5,17.5,29,44.8,55.2,41,87.8,12.2,28,53.6,46.4
区市町村／品川区,20,90,10,11,36.4,63.6,17,94.1,5.9,9,55.6,44.4
区市町村／目黒区,3,100,0,3,66.7,33.3,4,100,0,3,33.3,66.7
区市町村／大田区,38,84.2,15.8,26,11.5,88.5,32,71.9,28.1,26,26.9,73.1
区市町村／世田谷区,38,78.9,21.1,26,15.4,84.6,35,82.9,17.1,26,38.5,61.5
区市町村／渋谷区,18,61.1,38.9,13,46.2,53.8,15,73.3,26.7,12,41.7,58.3
区市町村／中野区,22,68.2,31.8,16,31.3,68.8,21,81,19,14,28.6,71.4
区市町村／杉並区,54,70.4,29.6,41,7.3,92.7,49,71.4,28.6,41,22,78
区市町村／豊島区,10,70,30,7,14.3,85.7,8,62.5,37.5,7,0,100
区市町村／北区,8,100,0,3,100,0,5,100,0,3,66.7,33.3
区市町村／荒川区,13,76.9,23.1,9,33.3,66.7,12,83.3,16.7,7,57.1,42.9
区市町村／板橋区,31,93.5,6.5,14,42.9,57.1,18,77.8,22.2,14,42.9,57.1
区市町村／練馬区,16,56.3,43.8,8,12.5,87.5,14,71.4,28.6,10,60,40
区市町村／足立区,41,82.9,17.1,28,14.3,85.7,38,84.2,15.8,24,16.7,83.3
区市町村／葛飾区,10,100,0,5,20,80,8,100,0,9,88.9,11.1
区市町村／江戸川区,14,85.7,14.3,9,33.3,66.7,10,80,20,10,40,60
区市町村／八王子市,35,82.9,17.1,20,15,85,33,84.8,15.2,25,44,56
区市町村／立川市,14,100,0,7,14.3,85.7,11,81.8,18.2,8,37.5,62.5
区市町村／武蔵野市,9,66.7,33.3,7,28.6,71.4,9,88.9,11.1,6,0,100
区市町村／三鷹市,3,33.3,66.7,2,0,100,5,100,0,3,33.3,66.7
区市町村／青梅市,16,81.3,18.8,14,21.4,78.6,16,75,25,15,26.7,73.3
区市町村／府中市,16,87.5,12.5,11,18.2,81.8,15,73.3,26.7,11,36.4,63.6
区市町村／昭島市,12,66.7,33.3,10,30,70,13,69.2,30.8,9,11.1,88.9
区市町村／調布市,14,71.4,28.6,6,50,50,11,72.7,27.3,6,16.7,83.3
区市町村／町田市,48,83.3,16.7,30,13.3,86.7,48,83.3,16.7,31,32.3,67.7
区市町村／小金井市,6,50,50,5,20,80,5,40,60,5,0,100
区市町村／小平市,2,100,0,2,50,50,2,50,50,1,0,100
区市町村／日野市,2,100,0,2,50,50,3,100,0,2,50,50
区市町村／東村山市,21,52.4,47.6,16,6.3,93.8,17,47.1,52.9,16,25,75
区市町村／国分寺市,4,100,0,3,33.3,66.7,4,75,25,3,33.3,66.7
区市町村／国立市,2,100,0,1,100,0,1,100,0,0,0,0
区市町村／福生市,9,66.7,33.3,6,0,100,10,80,20,6,16.7,83.3
区市町村／狛江市,1,100,0,0,0,0,1,100,0,0,0,0
区市町村／東大和市,9,66.7,33.3,8,12.5,87.5,10,80,20,9,33.3,66.7
区市町村／清瀬市,7,57.1,42.9,4,0,100,6,100,0,4,25,75
区市町村／東久留米市,0,0,0,1,100,0,1,100,0,0,0,0
区市町村／武蔵村山市,7,57.1,42.9,4,0,100,6,83.3,16.7,5,20,80
区市町村／多摩市,4,75,25,3,0,100,3,66.7,33.3,3,0,100
区市町村／稲城市,9,77.8,22.2,7,14.3,85.7,9,100,0,7,28.6,71.4
区市町村／羽村市,2,100,0,1,0,100,1,100,0,1,0,100
区市町村／あきる野市,12,83.3,16.7,11,9.1,90.9,12,50,50,11,9.1,90.9
区市町村／西東京市,4,100,0,2,100,0,2,100,0,1,100,0
区市町村／瑞穂町,3,33.3,66.7,3,0,100,5,60,40,3,0,100
区市町村／日の出町,9,44.4,55.6,7,14.3,85.7,11,81.8,18.2,7,14.3,85.7
区市町村／檜原村,1,0,100,1,0,100,1,0,100,1,0,100
