従属・説明変数,万引き／オッズ比,万引き／S.E.,万引き／z,万引き／95%信頼区間,,
友人・知人による情緒的サポート,0.85,0.15,-0.90,"(0.59,1.21)",,
定数,1.15,0.28,0.56,"(0.71,1.85)",,
R2(Cox&Snell),0.01,,,,,
R2(Nagelkerke),0.01,,,,,
N,108,,,,,
モデルのカイ2乗検定,p<0.01,,,,,

