区分,ｎ(団体数),問８今後必要だと思われる、子供見守り活動の取組／子供を犯罪から守るための取組(%),問８今後必要だと思われる、子供見守り活動の取組／地域ぐるみで子供の健やかな成長を見守るための取組(%),問８今後必要だと思われる、子供見守り活動の取組／地域のコミュニケーションを活性化するきっかけとなる取組(%),問８今後必要だと思われる、子供見守り活動の取組／防犯ボランティア活動に子供たちの参加を促すなど次世代に引き継ぐための取組(%),問８今後必要だと思われる、子供見守り活動の取組／必要性は感じているが、具体的な取組方法が分からない(%),問８今後必要だと思われる、子供見守り活動の取組／必要性を感じていない(%),問８今後必要だと思われる、子供見守り活動の取組／その他(%),問８今後必要だと思われる、子供見守り活動の取組／無回答(%)
全体,1034,58.2,63.3,42.6,38.3,16,1.4,4,6
区市町村／千代田区,13,61.5,61.5,38.5,38.5,15.4,0,0,15.4
区市町村／中央区,6,50,33.3,66.7,33.3,0,0,0,0
区市町村／港区,13,46.2,46.2,38.5,7.7,15.4,0,0,15.4
区市町村／新宿区,17,64.7,58.8,41.2,35.3,17.6,0,0,0
区市町村／文京区,25,44,72,52,28,8,0,4,0
区市町村／台東区,16,50,68.8,31.3,31.3,12.5,0,6.3,6.3
区市町村／墨田区,37,51.4,56.8,40.5,43.2,24.3,2.7,5.4,8.1
区市町村／江東区,49,61.2,67.3,46.9,55.1,10.2,2,4.1,4.1
区市町村／品川区,27,70.4,63,55.6,63,18.5,3.7,3.7,7.4
区市町村／目黒区,7,57.1,71.4,42.9,42.9,0,14.3,0,0
区市町村／大田区,53,62.3,64.2,49.1,35.8,11.3,0,5.7,7.5
区市町村／世田谷区,44,63.6,75,47.7,50,15.9,0,2.3,2.3
区市町村／渋谷区,24,54.2,62.5,29.2,45.8,25,0,8.3,12.5
区市町村／中野区,32,37.5,56.3,31.3,28.1,21.9,0,3.1,12.5
区市町村／杉並区,75,56,60,33.3,26.7,24,0,5.3,8
区市町村／豊島区,12,33.3,83.3,25,33.3,25,0,0,0
区市町村／北区,10,50,80,50,40,30,0,10,10
区市町村／荒川区,26,65.4,73.1,38.5,46.2,11.5,3.8,3.8,3.8
区市町村／板橋区,46,58.7,63,41.3,50,19.6,4.3,4.3,4.3
区市町村／練馬区,22,68.2,54.5,45.5,45.5,9.1,4.5,13.6,18.2
区市町村／足立区,65,55.4,55.4,46.2,36.9,21.5,1.5,3.1,4.6
区市町村／葛飾区,17,64.7,52.9,41.2,29.4,11.8,0,5.9,11.8
区市町村／江戸川区,18,83.3,72.2,44.4,61.1,5.6,0,0,5.6
区市町村／八王子市,46,60.9,52.2,30.4,37,15.2,0,8.7,0
区市町村／立川市,17,64.7,76.5,76.5,58.8,0,0,0,5.9
区市町村／武蔵野市,12,58.3,50,50,25,8.3,0,0,0
区市町村／三鷹市,5,60,40,80,60,20,0,0,0
区市町村／青梅市,17,70.6,64.7,47.1,17.6,5.9,0,0,5.9
区市町村／府中市,21,52.4,47.6,47.6,42.9,9.5,0,0,14.3
区市町村／昭島市,17,58.8,76.5,35.3,41.2,11.8,0,0,5.9
区市町村／調布市,19,57.9,57.9,26.3,36.8,10.5,10.5,0,15.8
区市町村／町田市,60,55,68.3,41.7,43.3,16.7,1.7,1.7,3.3
区市町村／小金井市,10,20,40,40,20,30,10,20,0
区市町村／小平市,4,25,50,25,0,50,0,0,0
区市町村／日野市,3,100,66.7,66.7,66.7,0,0,0,0
区市町村／東村山市,24,79.2,79.2,54.2,33.3,16.7,0,4.2,0
区市町村／国分寺市,5,60,60,20,60,40,0,0,20
区市町村／国立市,2,50,50,50,50,0,0,0,0
区市町村／福生市,11,45.5,81.8,54.5,45.5,18.2,0,0,0
区市町村／狛江市,2,50,100,0,50,50,0,0,0
区市町村／東大和市,15,60,73.3,73.3,26.7,20,0,6.7,6.7
区市町村／清瀬市,10,80,60,30,50,10,0,0,0
区市町村／東久留米市,1,100,100,0,100,0,0,0,0
区市町村／武蔵村山市,10,70,70,50,50,10,0,10,0
区市町村／多摩市,6,50,33.3,66.7,0,16.7,0,0,0
区市町村／稲城市,13,76.9,61.5,23.1,38.5,23.1,0,7.7,0
区市町村／羽村市,3,100,33.3,100,66.7,0,0,0,0
区市町村／あきる野市,21,57.1,71.4,28.6,4.8,9.5,0,4.8,14.3
区市町村／西東京市,4,25,75,75,25,25,0,0,25
区市町村／瑞穂町,5,40,60,40,20,20,0,0,20
区市町村／日の出町,16,43.8,75,37.5,6.3,6.3,6.3,6.3,0
区市町村／檜原村,1,100,100,0,0,0,0,0,0
