区分,仕事（勤務先）構成比(%),仕事（取引先）構成比(%),通学構成比(%),買い物構成比(%),レジャー構成比(%),通院構成比(%),習い事・塾構成比(%),その他構成比(%)
自転車（n=284）,19.0,0.4,1.4,57.0,0.4,0,1.8,19
歩行者（n=310）,30.3,3.5,1.0,46.5,0.6,0,1.6,15.5
自動車（n=67）,11.9,7.5,3.0,65.7,1.5,0,3,7.5
