区分,ｎ(団体数),問１(5)活動地域－主な活動範囲／町会・自治会(%),問１(5)活動地域－主な活動範囲／小学校区(%),問１(5)活動地域－主な活動範囲／中学校区(%),問１(5)活動地域－主な活動範囲／商店会(%),問１(5)活動地域－主な活動範囲／定めていない(%),問１(5)活動地域－主な活動範囲／その他(%),問１(5)活動地域－主な活動範囲／無回答(%),ｎ(団体数),問１(6)結成母体／町会・自治会(%),問１(6)結成母体商店会(%),問１(6)結成母体ＰＴＡ(%),問１(6)結成母体学校(%),問１(6)結成母体母体となる組織はない(%),問１(6)結成母体その他(%),問１(6)結成母体無回答(%)
全体,1034,75.5,14.1,3.5,4.4,5.4,9.8,0.4,1034,72.8,3.3,4.2,1.8,5,15.1,1
区市町村／千代田区,13,61.5,7.7,0,7.7,23.1,15.4,0,13,61.5,7.7,0,0,0,38.5,0
区市町村／中央区,6,50,0,33.3,0,0,16.7,0,6,50,0,33.3,0,0,16.7,0
区市町村／港区,13,76.9,7.7,0,7.7,15.4,7.7,0,13,61.5,7.7,0,0,15.4,15.4,0
区市町村／新宿区,17,58.8,0,0,11.8,17.6,23.5,0,17,58.8,5.9,0,0,11.8,23.5,0
区市町村／文京区,25,56,12,0,0,12,20,0,25,56,0,8,4,8,24,0
区市町村／台東区,16,56.3,6.3,0,31.3,0,18.8,0,16,56.3,25,0,0,0,18.8,0
区市町村／墨田区,37,89.2,5.4,0,0,2.7,2.7,0,37,86.5,0,0,0,2.7,10.8,2.7
区市町村／江東区,49,89.8,14.3,8.2,8.2,2,2,0,49,83.7,0,6.1,2,0,10.2,2
区市町村／品川区,27,77.8,0,0,0,11.1,14.8,0,27,88.9,0,0,0,0,11.1,0
区市町村／目黒区,7,85.7,0,0,28.6,0,0,0,7,85.7,14.3,0,0,0,0,0
区市町村／大田区,53,79.2,15.1,0,0,3.8,3.8,0,53,71.7,1.9,11.3,0,3.8,13.2,0
区市町村／世田谷区,44,81.8,11.4,2.3,2.3,4.5,4.5,0,44,70.5,4.5,2.3,4.5,9.1,11.4,0
区市町村／渋谷区,24,75,0,0,20.8,4.2,20.8,0,24,70.8,20.8,0,4.2,8.3,16.7,0
区市町村／中野区,32,81.3,3.1,0,3.1,9.4,9.4,0,32,71.9,6.3,0,0,9.4,12.5,6.3
区市町村／杉並区,75,68,13.3,8,8,6.7,9.3,0,75,64,9.3,10.7,2.7,5.3,12,0
区市町村／豊島区,12,25,66.7,0,16.7,0,16.7,0,12,25,8.3,58.3,0,8.3,8.3,0
区市町村／北区,10,100,30,0,10,0,30,0,10,100,0,0,0,0,0,0
区市町村／荒川区,26,80.8,3.8,0,3.8,7.7,11.5,0,26,80.8,0,0,0,0,23.1,0
区市町村／板橋区,46,95.7,4.3,4.3,2.2,0,2.2,0,46,93.5,4.3,0,0,2.2,2.2,0
区市町村／練馬区,22,63.6,18.2,13.6,0,9.1,27.3,0,22,59.1,0,4.5,0,22.7,18.2,0
区市町村／足立区,65,89.2,10.8,3.1,1.5,1.5,3.1,1.5,65,98.5,0,0,0,0,3.1,0
区市町村／葛飾区,17,94.1,5.9,0,0,5.9,0,0,17,88.2,0,0,0,5.9,5.9,0
区市町村／江戸川区,18,77.8,38.9,16.7,11.1,5.6,5.6,0,18,77.8,0,11.1,5.6,0,16.7,0
区市町村／八王子市,46,84.8,15.2,2.2,2.2,2.2,10.9,0,46,80.4,0,4.3,4.3,2.2,13,2.2
区市町村／立川市,17,23.5,58.8,0,5.9,0,11.8,0,17,29.4,0,0,5.9,0,64.7,0
区市町村／武蔵野市,12,25,16.7,0,0,16.7,41.7,0,12,41.7,0,0,8.3,0,41.7,8.3
区市町村／三鷹市,5,60,20,0,0,0,20,0,5,60,0,0,0,0,40,0
区市町村／青梅市,17,64.7,35.3,5.9,5.9,5.9,11.8,0,17,58.8,0,5.9,11.8,11.8,11.8,0
区市町村／府中市,21,95.2,9.5,0,0,0,0,4.8,21,90.5,0,0,0,4.8,4.8,4.8
区市町村／昭島市,17,100,0,0,0,0,0,0,17,100,0,0,0,0,0,0
区市町村／調布市,19,47.4,47.4,0,0,10.5,5.3,0,19,42.1,5.3,5.3,15.8,5.3,31.6,0
区市町村／町田市,60,98.3,3.3,1.7,1.7,0,0,0,60,90,1.7,0,0,3.3,5,0
区市町村／小金井市,10,60,20,0,0,0,20,0,10,70,0,20,0,0,20,0
区市町村／小平市,4,100,0,0,0,0,0,0,4,75,0,0,0,25,0,0
区市町村／日野市,3,66.7,0,0,0,0,33.3,0,3,0,0,0,0,0,100,0
区市町村／東村山市,24,33.3,29.2,8.3,4.2,16.7,16.7,4.2,24,29.2,4.2,8.3,4.2,12.5,37.5,4.2
区市町村／国分寺市,5,60,60,20,20,20,40,0,5,20,0,0,0,0,80,0
区市町村／国立市,2,50,50,0,0,0,0,0,2,100,0,0,0,0,0,0
区市町村／福生市,11,100,0,0,0,0,0,0,11,81.8,9.1,0,0,9.1,0,0
区市町村／狛江市,2,50,50,0,0,0,50,0,2,50,0,0,0,0,50,0
区市町村／東大和市,15,53.3,20,6.7,6.7,6.7,20,6.7,15,53.3,0,6.7,6.7,13.3,20,6.7
区市町村／清瀬市,10,50,10,0,10,0,30,0,10,80,10,0,0,10,0,0
区市町村／東久留米市,1,0,0,0,0,0,100,0,1,0,0,0,0,0,100,0
区市町村／武蔵村山市,10,70,40,20,0,10,0,0,10,70,0,0,0,0,30,0
区市町村／多摩市,6,100,0,0,0,0,0,0,6,100,0,0,0,0,0,0
区市町村／稲城市,13,38.5,7.7,7.7,0,23.1,23.1,0,13,46.2,0,7.7,0,15.4,30.8,0
区市町村／羽村市,3,33.3,66.7,33.3,0,33.3,33.3,0,3,33.3,0,0,0,66.7,0,0
区市町村／あきる野市,21,71.4,19,4.8,0,9.5,9.5,0,21,71.4,0,4.8,0,4.8,23.8,4.8
区市町村／西東京市,4,50,75,0,25,0,25,0,4,0,0,0,0,50,75,0
区市町村／瑞穂町,5,100,0,0,0,0,0,0,5,80,0,0,0,0,20,0
区市町村／日の出町,16,93.8,18.8,6.3,0,6.3,6.3,0,16,93.8,6.3,0,0,0,0,0
区市町村／檜原村,1,0,0,0,0,0,100,0,1,0,0,0,0,0,100,0
