区分,自転車（円）,原付（円）
年間（登録制）,4000 ,4000 
一般／1ヶ月,1000～2600,4200 
一般／3ヶ月,2900～7400,12000 
一般／6ヶ月,4800～12500,20200 
学生等／1ヶ月,800～2400,3800 
学生等／3ヶ月,2300～6800,10800 
学生等／6ヶ月,3600～11300,17800 
1日利用,100 ,200 
