区分,構成比(%)
歩行者を走る自転車が減った,8.4
全体的に歩きやすくなった,6.7
自転車とのヒヤリ・ハットが減った,7.4
自転車の速度が低下した,3.0
特によくなったことはない,49.1
わからない,27.4
その他,7.9
