区分,数量,はい構成比(%),いいえ構成比(%),無回答構成比(%)
全体,368,93.8,3.8,2.4
15～19歳,59,98.3,1.7,0
20～29歳,69,94.2,5.8,0
30～39歳,84,95.2,4.8,0
40～49歳,42,92.9,4.8,2.4
50～59歳,27,100,0,0
60～69歳,49,89.8,4.1,6.1
70歳以上,36,86.1,2.8,11.1
