区分,ほぼ毎日構成比(%),週に2～3回構成比(%),週に1回位構成比(%),月に数回構成比(%),ごくたまに通る構成比(%),通らない構成比(%)
自転車（n=401）,27.2,23.4,9.7,10.5,21.2,8.0
歩行者（n=436）,47.2,22.2,11.0,5.7,8.0,5.7
自動車（n=35）,20.0,14.3,11.4,2.9,31.4,20.0
