区分,池上地区（池上1～8丁目）構成比(%),その他大田区構成比(%),その他23区内構成比(%),多摩地域構成比(%),その他構成比(%)
自転車（n=429）,45.9,51.5,1.4,0.7,0.5
歩行者（n=454）,54.4,36.3,4.0,0.9,4.4
