区分,駐車場名,項目,自転車（円）,原付（円）,自転車1階（円）,自転車2階（円）,自転車3階（円）,原付1階（円）,自二（総排気量0.125l以下）（円）,自二（総排気量0.250l以下）（円）
定期利用,東青梅駅北口自転車等駐車場,1ヶ月,-,-,2000,1800,,3000,-,-
定期利用,青梅駅自転車等駐車場,1ヶ月,-,-,2000,1600,1200,3000,-,-
定期利用,河辺駅北口自転車等駐車場,1ヶ月,-,-,2000,1800,1600,3000,2700,-
定期利用,河辺駅南口自転車等駐車場,1ヶ月,1800,2700,-,-,-,-,2700,3200
一次利用,東青梅駅北口、河辺駅北口、南口、青梅駅　共通,1日,150,250,-,-,-,-,-,-
