区分,自転車（円）,原付・自二／125cc以下（円）,原付・自二／125cc超（円）,原付、125cc以下の自二（円）,125cc超の自二（円）
当日利用／1日,100,200,300,-,-
定期利用／1ヶ月,2000(ほか1500、1000、500),-,-,4000(ほか3000、2000、1000),6000(ほか4500、1500)
定期利用／3ヶ月,5900(ほか4200、2700、1400),-,-,11200(ほか8400、5400、2800),16800(ほか12600、4200)
定期利用／6ヶ月,10400(ほか7800、5000、2600),-,-,20800(ほか15600、10000、5200),31200(ほか23400、7800)
