区分,豊洲地区（豊洲1～6丁目）構成比(%),中央区晴海、月島、勝どき、豊海構成比(%),その他23区内構成比(%),多摩地域構成比(%),その他構成比(%)
自転車（n=290）,51.0,5.2,38.6,0.0,5.2
歩行者（n=326）,50.6,3.4,31.9,1.5,12.6
自動車（n=68）,33.8,7.4,57.4,0.0,15
