年度,実施箇所,住所,緯度,経度,座標系,参考ＵＲＬ
平成２６年度,練馬区立豊玉東小学校,東京都練馬区豊玉北1-16-1,35.732807,139.667959,JGD2011,http://www.bouhan.metro.tokyo.jp/00_icon/02_kodomo/kodomo110/nerima.html
平成２６年度,足立区立西新井小学校,東京都足立区西新井本町4-9-27,35.774547,139.781414,JGD2011,http://www.bouhan.metro.tokyo.jp/00_icon/02_kodomo/kodomo110/adachi.html
平成２７年度,八王子市立愛宕小学校,東京都八王子市上柚木3-20,35.61938,139.372964,JGD2011,http://www.bouhan.metro.tokyo.jp/00_icon/02_kodomo/kodomo110/hachioji.html
平成２７年度,世田谷区立用賀小学校,世田谷区上用賀6-14-1,35.636214,139.626424,JGD2011,http://www.bouhan.metro.tokyo.jp/00_icon/02_kodomo/kodomo110/setagaya.html
平成２７年度,国分寺市立第五小学校,国分寺市日吉町1-30,35.703953,139.459277,JGD2011,http://www.bouhan.metro.tokyo.jp/00_icon/02_kodomo/kodomo110/kokubunji.html
