区分,n(団体数),連携している,連携している／割合(%),連携していない,連携していない／割合(%),,,,,,,,,
警察署,893,833,93.3,60,6.7,,,,,,,,,
防犯協会,864,742,85.9,122,14.1,,,,,,,,,
町会・自治会,891,758,85.1,133,14.9,,,,,,,,,
地元区市町村,686,543,79.2,143,20.8,,,,,,,,,
学校,748,577,77.1,171,22.9,,,,,,,,,
消防署,726,529,72.9,197,27.1,,,,,,,,,
ＰＴＡ,689,455,66.0,234,34.0,,,,,,,,,
商店街,594,268,45.1,326,54.9,,,,,,,,,
東京都,512,173,33.8,339,66.2,,,,,,,,,
地元企業・会社,510,124,24.3,386,75.7,,,,,,,,,
その他,169,58,34.3,111,65.7,,,,,,,,,
