区分,数量,ルール自体を知らなかったから構成比(%),守らなくても危険だと感じないから構成比(%),守るのが面倒だから（急いでいるから）構成比(%),周りの人も守っていないから構成比(%)
全体,141,22,17.7,14.2,8.5
15～19歳,26,34.6,23.1,38.5,15.4
20～29歳,23,26.1,39.1,17.4,8.7
30～39歳,33,18.2,15.2,6.1,6.1
40～49歳,15,13.3,20,6.7,-
50～59歳,11,27.3,-,9.1,18.2
60～69歳,21,19,4.8,4.8,4.8
70歳以上,10,10,10,10,10
