区分,n(団体数),連携を希望している,連携を希望している／割合(%),連携を希望しない,連携を希望しない／割合(%),,,,,,,,,
警察署,50,31,62,19,38,,,,,,,,,
防犯協会,127,68,53.5,59,46.5,,,,,,,,,
町会・自治会,171,91,53.2,80,46.8,,,,,,,,,
地元区市町村,108,57,52.8,51,47.2,,,,,,,,,
学校,154,80,51.9,74,48.1,,,,,,,,,
消防署,243,126,51.9,117,48.1,,,,,,,,,
ＰＴＡ,88,41,46.6,47,53.4,,,,,,,,,
商店街,106,39,36.8,67,63.2,,,,,,,,,
東京都,265,95,35.8,170,64.2,,,,,,,,,
地元企業・会社,222,58,26.1,164,73.9,,,,,,,,,
その他,78,12,15.4,66,84.6,,,,,,,,,
