区分,数量,した構成比(%),しない構成比(%),事例に該当する経験なし構成比(%),無回答構成比(%),,,,
全体,216,88.4,4.6,5.1,1.9,,,,
15～19歳,40,75,15,10,0,,,,
20～29歳,34,88.2,5.9,5.9,0,,,,
30～39歳,47,93.6,2.1,4.3,0,,,,
40～49歳,25,88,0,8,4,,,,
50～59歳,18,100,0,0,0,,,,
60～69歳,31,90.3,3.2,0,6.5,,,,
70歳以上,19,94.7,5.3,0,0,,,,
