"年度","あっせん/融資","中小企業融資 件数[件]","中小企業融資 金額[円]","小規模企業小口融資 件数[件]","小規模企業小口融資 金額[円]","年末特別あっせん融資 件数[件]","年末特別あっせん融資 金額[円]","計 件数[件]","計 金額[円]"
"2016","あっせん","1515","16803220000","0","0","0","0","1515","16803220000"
"2016","融資","1200","11878490000","0","0","0","0","1200","11878490000"
"2017","あっせん","1243","13136010000","0","0","0","0","1243","13136010000"
"2017","融資","1024","9778670000","0","0","0","0","1024","9778670000"
"2018","あっせん","1236","13848150000","0","0","0","0","1236","13848150000"
"2018","融資","940","9264450000","0","0","0","0","940","9264450000"
"2019","あっせん","2302","21923290000","0","0","0","0","2302","21923290000"
"2019","融資","1090","10477080000","0","0","0","0","1090","10477080000"
"2020","あっせん","9407","84274200000","0","0","0","0","9407","84274200000"
"2020","融資","7259","55283150000","0","0","0","0","7259","55283150000"

"令和3年度港区行政資料集　中小企業融資状況","Ver202103",,,,,,,,
