"年度[西暦]","飯倉学童クラブ 利用者数[人]","飯倉学童クラブ 内学童保育[人]","青山児童館 利用者数[人]","青山児童館 内学童保育[人]","豊岡児童館 利用者数[人]","豊岡児童館 内学童保育[人]","高輪児童館 利用者数[人]","高輪児童館 内学童保育[人]","白金台児童館 利用者数[人]","白金台児童館 内学童保育[人]","台場児童館 利用者数[人]","台場児童館 内学童保育[人]","神明子ども中高生プラザ 利用者数[人]","神明子ども中高生プラザ 内学童保育[人]","麻布子ども中高生プラザ 利用者数[人]","麻布子ども中高生プラザ 内学童保育[人]","赤坂子ども中高生プラザ 利用者数[人]","赤坂子ども中高生プラザ 内学童保育[人]","赤坂子ども中高生プラザ青山館 利用者数[人]","赤坂子ども中高生プラザ青山館 内学童保育[人]","高輪子ども中高生プラザ 利用者数[人]","高輪子ども中高生プラザ 内学童保育[人]","港南子ども中高生プラザ 利用者数[人]","港南子ども中高生プラザ 内学童保育[人]","子どもふれあいルーム 利用者数[人]","子どもふれあいルーム 内学童保育[人]","新橋学童クラブ利用者数[人]","新橋学童クラブ 内学童保育[人]","東麻布学童クラブ 利用者数[人]","東麻布学童クラブ 内学童保育[人]","南麻布学童クラブ 利用者数[人]","南麻布学童クラブ 内学童保育[人]","桂坂学童クラブ 利用者数[人]","桂坂学童クラブ 内学童保育[人]","三光学童クラブ 利用者数[人]","三光学童クラブ 内学童保育[人]","白金台学童クラブ(ゆかしの杜) 利用者数[人]","白金台学童クラブ(ゆかしの杜) 内学童保育[人]","芝浦学童クラブ 利用者数[人]","芝浦学童クラブ 内学童保育[人]","五色橋学童クラブ 利用者数[人]","五色橋学童クラブ 内学童保育[人]","計 利用者数[人]","計 内学童保育[人]"
"学童保育定員","66",,,,"76",,"55",,"66",,"105",,"110",,"80",,"120",,"80",,"77",,"320",,,,,,"64",,"120",,"200",,"160",,"60",,"270",,"160",,"2189",
"2018","26479","11134","28782","9552","27618","13288","26885","9198","57949","9697","38097","14298","43584","9519","133214","13628","75544","14594",,,"138280","12126","115621","53659","24752",,"234","234","7862","7862","14419","14419","30930","30930","17882","17882","3358","3358","32643","32643","4621","4621","848754","282642"
"2019","25929","10154","27577","9656","24021","11592","23410","10201","50487","8190","33521","13290","39376","10009","111972","12574","67423","14933",,,"124792","12608","101174","51997","18043",,"2396","2396","8590","8590","14790","14790","32192","32192","20995","20995","6493","6493","33778","33778","5589","5589","772548","290027"
"2020","13550","6340",,,"17115","10505","13056","8285","12118","5826","16815","10555","20224","6798","60511","9346","26565","11880","20295","7332","67518","9468","51640","33211","2139",,"3292","3292","6899","6899","13219","13219","18765","18765","19216","19216","5092","5092","19555","19555","4861","4861","412445","210445"
"2021","21054","8942",,,"21674","12125","16078","8929","24761","9463","25379","15547","26020","8812","84961","11820","39575","15522","33186","9750","97553","11376","86596","46921","5998",,"4505","4505","7379","7379","15454","15454","26846","26846","23150","23150","8473","8473","37201","37201","10214","10214","616057","292429"
"2022","22932","11202",,,"19718","12438","19736","9277","26312","9347","27036","15191","31828","12154","96910","11579","46035","14356","37070","10057","96402","12014","91943","51818","12249",,,,"9155","9155","16239","16239","28993","28993","27135","27135","8335","8335","30751","30751","14384","14384","663163","304425"

"令和5年度港区行政資料集　施設利用状況一覧 児童館・児童施設","Ver202303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
