"科目","金額[百万円]"
"年度","2017"
"期間（自）","20170401"
"期間（至）","20180331"
"業務活動収支 業務支出","142941"
"業務活動収支 業務支出 業務費用支出","65541"
"業務活動収支 業務支出 業務費用支出 人件費支出","20175"
"業務活動収支 業務支出 業務費用支出 物件費等支出","44274"
"業務活動収支 業務支出 業務費用支出 支払利息支出","34"
"業務活動収支 業務支出 業務費用支出 その他の支出","1059"
"業務活動収支 業務支出 移転費用支出","77400"
"業務活動収支 業務支出 移転費用支出 補助金等支出","56381"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","20659"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","0"
"業務活動収支 業務支出 移転費用支出 その他の支出","359"
"業務活動収支 業務収入","169673"
"業務活動収支 業務収入 税収等収入","128270"
"業務活動収支 業務収入 国都等補助金収入","29684"
"業務活動収支 業務収入 使用料及び手数料収入","7675"
"業務活動収支 業務収入 その他の収入","4045"
"業務活動収支 臨時支出","0"
"業務活動収支 臨時支出 災害復旧事業費支出","0"
"業務活動収支 臨時支出 その他の支出","0"
"業務活動収支 臨時収入","0"
"業務活動収支","26732"
"投資活動収支 投資活動支出","74934"
"投資活動収支 投資活動支出 公共施設等整備費支出","23805"
"投資活動収支 投資活動支出 基金積立金支出","50631"
"投資活動収支 投資活動支出 投資及び出資金支出","0"
"投資活動収支 投資活動支出 貸付金支出","497"
"投資活動収支 投資活動支出 その他の支出","0"
"投資活動収支 投資活動収入","52323"
"投資活動収支 投資活動収入 国都等補助金収入","2819"
"投資活動収支 投資活動収入 基金取崩収入","49010"
"投資活動収支 投資活動収入 貸付金元金回収収入","494"
"投資活動収支 投資活動収入 資産売却収入","0"
"投資活動収支 投資活動収入 その他の収入","0"
"投資活動収支","-22610"
"財務活動収支 財務活動支出","758"
"財務活動収支 財務活動支出 地方債償還支出","758"
"財務活動収支 財務活動支出 その他の支出","0"
"財務活動収支 財務活動収入","0"
"財務活動収支 財務活動収入 地方債発行収入","0"
"財務活動収支 財務活動収入 その他の収入","0"
"財務活動収支","-758"
"本年度資金収支額","3364"
"前年度末資金残高","8731"
"本年度末資金残高","12095"
"前年度末歳計外現金残高","11937"
"本年度歳計外現金増減額","-5213"
"本年度末歳計外現金残高","6724"
"本年度末現金預金残高","18818"

"全体会計財務書類（資金収支計算書）(平成29年4月1日から平成30年3月31日)","Ver201803"
