地域階層,地域コード,地域,人口／総数／平成12（2000）年（人）,人口／総数／平成17（2005）年（人）,人口／総数／平成22（2010）年（人）,人口／総数／平成27（2015）年（人）,人口／総数／令和2（2020）年（人）,人口／総数／増減数／平成12（2000）年～17（2005）年（人）,人口／総数／増減数／平成17（2005）年～22（2010）年（人）,人口／総数／増減数／平成22（2010）年～27（2015）年（人）,人口／総数／増減数／平成27（2015）年～令和2（2020）年（人）,人口／総数／増減率／平成12（2000）年～17（2005）年（％）,人口／総数／増減率／平成17（2005）年～22（2010）年（％）,人口／総数／増減率／平成22（2010）年～27（2015）年（％）,人口／総数／増減率／平成27（2015）年～令和2（2020）年（％）
0,13000,東京都総数,12064101,12576601,13159388,13515271,14047594,512500,582787,355883,532323,4.25,4.63,2.7,3.94
1,13100,区部,8134688,8489653,8945695,9272740,9733276,354965,456042,327045,460536,4.36,5.37,3.66,4.97
4,13101,千代田区,36035,41778,47115,58406,66680,5743,5337,11291,8274,15.94,12.77,23.96,14.17
4,13102,中央区,72526,98399,122762,141183,169179,25873,24363,18421,27996,35.67,24.76,15.01,19.83
4,13103,港区,159398,185861,205131,243283,260486,26463,19270,38152,17203,16.6,10.37,18.6,7.07
4,13104,新宿区,286726,305716,326309,333560,349385,18990,20593,7251,15825,6.62,6.74,2.22,4.74
4,13105,文京区,176017,189632,206626,219724,240069,13615,16994,13098,20345,7.74,8.96,6.34,9.26
4,13106,台東区,156325,165186,175928,198073,211444,8861,10742,22145,13371,5.67,6.5,12.59,6.75
4,13107,墨田区,215979,231173,247606,256274,272085,15194,16433,8668,15811,7.03,7.11,3.5,6.17
4,13108,江東区,376840,420845,460819,498109,524310,44005,39974,37290,26201,11.68,9.5,8.09,5.26
4,13109,品川区,324608,346357,365302,386855,422488,21749,18945,21553,35633,6.7,5.47,5.9,9.21
4,13110,目黒区,250140,264064,268330,277622,288088,13924,4266,9292,10466,5.57,1.62,3.46,3.77
4,13111,大田区,650331,665674,693373,717082,748081,15343,27699,23709,30999,2.36,4.16,3.42,4.32
4,13112,世田谷区,814901,841165,877138,903346,943664,26264,35973,26208,40318,3.22,4.28,2.99,4.46
