地域階層,地域コード,地域,世帯／総数／平成12（2000）年（世帯）,世帯／総数／平成17（2005）年（世帯）,世帯／総数／平成22（2010）年（世帯）,世帯／総数／平成27（2015）年（世帯）,世帯／総数／令和2（2020）年（世帯）,世帯／総数／増減数／平成12（2000）年～17（2005）年（世帯）,世帯／総数／増減数／平成17（2005）年～22（2010）年（世帯）,世帯／総数／増減数／平成22（2010）年～27（2015）年（世帯）,世帯／総数／増減数／平成27（2015）年～令和2（2020）年（世帯）,世帯／総数／増減率／平成12（2000）年～17（2005）年（％）,世帯／総数／増減率／平成17（2005）年～22（2010）年（％）,世帯／総数／増減率／平成22（2010）年～27（2015）年（％）,世帯／総数／増減率／平成27（2015）年～令和2（2020）年（％）
0,13000,東京都総数,5423551,5890792,6393768,6701122,7227180,467241,502976,307354,526058,8.62,8.54,4.81,7.85
1,13100,区部,3810919,4146481,4540746,4801194,5215850,335562,394265,260448,414656,8.81,9.51,5.74,8.64
4,13101,千代田区,16285,20768,25560,33262,37011,4483,4792,7702,3749,27.53,23.07,30.13,11.27
4,13102,中央区,35783,55976,67981,79272,92533,20193,12005,11291,13261,56.43,21.45,16.61,16.73
4,13103,港区,80543,103769,110113,130562,146160,23226,6344,20449,15598,28.84,6.11,18.57,11.95
4,13104,新宿区,154687,173560,195434,204989,222800,18873,21874,9555,17811,12.2,12.6,4.89,8.69
4,13105,文京区,85494,96839,111753,120858,133661,11345,14914,9105,12803,13.27,15.4,8.15,10.59
4,13106,台東区,74589,81990,95413,112117,124345,7401,13423,16704,12228,9.92,16.37,17.51,10.91
4,13107,墨田区,94168,107701,120797,130862,145768,13533,13096,10065,14906,14.37,12.16,8.33,11.39
4,13108,江東区,162240,189108,214424,243708,264278,26868,25316,29284,20570,16.56,13.39,13.66,8.44
4,13109,品川区,157986,178825,196132,212374,237641,20839,17307,16242,25267,13.19,9.68,8.28,11.9
4,13110,目黒区,127878,136622,138028,146162,155715,8744,1406,8134,9553,6.84,1.03,5.89,6.54
4,13111,大田区,297340,316010,345608,371149,400164,18670,29598,25541,29015,6.28,9.37,7.39,7.82
4,13112,世田谷区,404792,429680,448961,463632,492065,24888,19281,14671,28433,6.15,4.49,3.27,6.13
4,13113,渋谷区,106433,115549,123746,135749,149967,9116,8197,12003,14218,8.57,7.09,9.7,10.47
4,13114,中野区,165900,172786,184267,196132,208093,6886,11481,11865,11961,4.15,6.64,6.44,6.1
4,13115,杉並区,268873,283682,302805,312001,336339,14809,19123,9196,24338,5.51,6.74,3.04,7.8
4,13116,豊島区,134646,142925,166214,176376,183819,8279,23289,10162,7443,6.15,16.29,6.11,4.22
4,13117,北区,153066,162104,172568,178379,189700,9038,10464,5811,11321,5.9,6.46,3.37,6.35
