地域階層,地域コード,地域,人口／総数／令和2（2020）年（人）,面積／総数／令和2（2020）年（km2）,人口密度／総数／令和2（2020）年（人／km2）,人口／総数／平成27（2015）年（人）,面積／総数／平成27（2015）年（km2）,人口密度／総数／平成27（2015）年（人／km2）,人口密度／総数／平成27（2015）年～令和2（2020）年の増減数（人／km2）
2,13300,郡部,55476,375.86,147.6,58334,375.86,155.2,-7.6
4,13303,瑞穂町,31765,16.85,1885.2,33445,16.85,1984.9,-99.7
4,13305,日の出町,16958,28.07,604.1,17446,28.07,621.5,-17.4
4,13307,檜原村,2003,105.41,19,2209,105.41,21,-2
4,13308,奥多摩町,4750,225.53,21.1,5234,225.53,23.2,-2.1
2,13350,島部,24461,406.69,60.1,26491,404.16,65.5,-5.4
3,13360,大島支庁,11725,141,83.2,12861,140.99,91.2,-8
4,13361,大島町,7102,90.76,78.3,7884,90.76,86.9,-8.6
4,13362,利島村,327,4.12,79.4,337,4.12,81.8,-2.4
4,13363,新島村,2441,27.54,88.6,2749,27.54,99.8,-11.2
4,13364,神津島村,1855,18.58,99.8,1891,18.58,101.8,-2
3,13380,三宅支庁,2596,75.8,34.2,2817,75.81,37.2,-3
4,13381,三宅村,2273,55.26,41.1,2482,55.27,44.9,-3.8
4,13382,御蔵島村,323,20.54,15.7,335,20.54,16.3,-0.6
3,13400,八丈支庁,7211,83.01,86.9,7791,83.01,93.9,-7
4,13401,八丈町,7042,72.23,97.5,7613,72.23,105.4,-7.9
4,13402,青ヶ島村,169,5.96,28.4,178,5.96,29.9,-1.5
3,13420,小笠原支庁,2929,106.88,27.4,3022,104.35,29,-1.6
4,13421,小笠原村,2929,106.88,27.4,3022,104.35,29,-1.6
,,,,,,,,,
令和2年国勢調査  人口等基本集計,,,,,,,,,
第６表　区市町村別人口密度,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・町村部　2:郡部・島部　3:大島支庁・三宅支庁・八丈支庁・小笠原支庁　4:区市町村）,,,,,,,,,
