,名称,（所在地）,生徒定員（人）
1,東京朝鮮第１幼初中級学校,（荒川区東日暮里三丁目８番５号）,810
2,東京朝鮮第２初級学校,（江東区枝川一丁目11番26号）,120
3,東京朝鮮第３初級学校,（板橋区大山西町67番１号）,240
4,東京朝鮮第４初中級学校,（足立区興野一丁目18番12号）,540
5,東京朝鮮第５初中級学校,（墨田区八広五丁目22番15号）,360
6,東京朝鮮第６幼初級学校,（大田区千鳥二丁目３番15号）,240
7,東京朝鮮第９初級学校,（杉並区阿佐谷北一丁目39番３号）,240
8,西東京朝鮮第１初中級学校,（立川市錦町四丁目７番12号）,540
9,西東京朝鮮第２幼初級学校,（町田市金森東一丁目17番１号）,168
10,東京朝鮮中高級学校,（北区十条台二丁目６番32号）,1650
11,朝鮮大学校,（小平市小川町一丁目700番地）,1220
